Maps: isw_bin0 euc6bindiv111111_bin0 euc6bindiv111111_bin1 euc6bindiv111111_bin2 euc6bindiv111111_bin3 euc6bindiv111111_bin4 euc6bindiv111111_bin5
nbar: -1.000e+00 2.640e+07 9.586e+07 1.070e+08 7.021e+07 3.312e+07 1.726e+07
Computed for pairs: isw-isw isw-euc6bindiv111111 euc6bindiv111111-euc6bindiv111111
runtag eucbintest6 (iswilk:eucbintest), lmax=95, eps=1.0e-10,besselmincut=1, besselmaxcut=0
CAMBtag 'fid': Oc=0.259, Ob=0.0486, h0=0.677, w0=-1, ns=0.967, On=0 [OL=1-Om, Oc=Om-Ob-On. epsilon=1e-10]
k-data: kmin=1.000e-05, kmax=1.000e+01, kperlog=300, krcut(add,mult)=(50,20);
##############################
                         isw_bin0                euc6bindiv111111_bin0   euc6bindiv111111_bin1   euc6bindiv111111_bin2   euc6bindiv111111_bin3   euc6bindiv111111_bin4   euc6bindiv111111_bin5   isw_bin0                euc6bindiv111111_bin0   euc6bindiv111111_bin1   euc6bindiv111111_bin2   euc6bindiv111111_bin3   euc6bindiv111111_bin4   isw_bin0                euc6bindiv111111_bin0   euc6bindiv111111_bin1   euc6bindiv111111_bin2   euc6bindiv111111_bin3   isw_bin0                euc6bindiv111111_bin0   euc6bindiv111111_bin1   euc6bindiv111111_bin2   isw_bin0                euc6bindiv111111_bin0   euc6bindiv111111_bin1   isw_bin0                euc6bindiv111111_bin0   isw_bin0               
 lvals                   isw_bin0                euc6bindiv111111_bin0   euc6bindiv111111_bin1   euc6bindiv111111_bin2   euc6bindiv111111_bin3   euc6bindiv111111_bin4   euc6bindiv111111_bin5   euc6bindiv111111_bin0   euc6bindiv111111_bin1   euc6bindiv111111_bin2   euc6bindiv111111_bin3   euc6bindiv111111_bin4   euc6bindiv111111_bin5   euc6bindiv111111_bin1   euc6bindiv111111_bin2   euc6bindiv111111_bin3   euc6bindiv111111_bin4   euc6bindiv111111_bin5   euc6bindiv111111_bin2   euc6bindiv111111_bin3   euc6bindiv111111_bin4   euc6bindiv111111_bin5   euc6bindiv111111_bin3   euc6bindiv111111_bin4   euc6bindiv111111_bin5   euc6bindiv111111_bin4   euc6bindiv111111_bin5   euc6bindiv111111_bin5  
                      +0 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00
                      +1 +2.5525533546791222e-09 +1.3203979336113782e-05 +1.6316275394725610e-06 +6.5386506222267681e-07 +3.8516056838769104e-07 +2.6754163950904106e-07 +1.1086166338573133e-07 +9.1762017932240260e-08 -1.8017495281846631e-07 -1.2296614237093696e-07 -5.9199201575467971e-08 -2.5696031849352534e-08 -1.3734803234087131e-08 +2.8659232832230547e-08 -1.0229122720848611e-07 -6.6467183748632876e-08 -5.3631957865611202e-08 -3.7187191596833092e-08 +1.1631047353285657e-08 -2.0608286469284043e-08 -1.7552972293332406e-08 -1.3546981418270499e-08 +5.9235885825520992e-09 -7.1691344663933808e-09 -6.4714429165626592e-09 +3.5053413443002940e-09 -2.9821175413737355e-09 +2.0702678504920648e-09
                      +2 +5.1932876096190844e-10 +1.6957712050500658e-05 +1.9330009208785700e-06 +7.1636468823365579e-07 +4.0677443348656370e-07 +2.7736425937904881e-07 +1.1506508515866785e-07 +5.2269260489109269e-08 +2.4793999340808158e-07 -5.2012659104418137e-08 -3.5830646319083966e-08 -1.5138737721102481e-08 -8.8952109675921148e-09 +1.7063511100266975e-08 -5.7682469604593589e-08 -4.9086985602482730e-08 -4.5177443950074076e-08 -3.3113819427480680e-08 +6.7958570323907533e-09 -8.6568633430266421e-09 -1.0629325422189262e-08 -9.9557877511003993e-09 +3.3413765478590668e-09 -2.9814787302360524e-09 -3.5173992401061370e-09 +1.8970176510341596e-09 -5.5057378862526379e-10 +1.0666779420646941e-09
                      +3 +1.8086640553872539e-10 +2.0139737180560415e-05 +2.2519006903356446e-06 +7.8772754012787386e-07 +4.3242179595985552e-07 +2.8939766859160894e-07 +1.2019076709499646e-07 +3.4429110929398357e-08 +6.1061580502134732e-07 +1.6409818158429996e-08 -1.0943968687111889e-08 -3.2956827492219775e-09 -3.3738117786840462e-09 +1.1836356397189347e-08 -3.5262670912751034e-08 -3.6317184037421928e-08 -3.7606744964939058e-08 -2.9071593031831518e-08 +4.7145904753257810e-09 -2.9183504085831876e-09 -6.3960045689940153e-09 -7.2217735912231959e-09 +2.2881625890780392e-09 -1.8503954062850346e-09 -1.8437078579158097e-09 +1.2728127924091680e-09 -2.2415980068091843e-10 +6.9658239074834780e-10
                      +4 +8.1207930978563315e-11 +2.2734833175995064e-05 +2.5690567356861640e-06 +8.6387194568710654e-07 +4.6072839455234147e-07 +3.0282553460628317e-07 +1.2594972466077998e-07 +2.4537297493315061e-08 +9.1121315494137963e-07 +7.9265188572777558e-08 +1.3724394615630183e-08 +9.1190413442098891e-09 +2.5747226705260282e-09 +8.8767747696475471e-09 -2.1987555615693640e-08 -2.6914294537647433e-08 -3.1138497345198504e-08 -2.5388087069786419e-08 +3.5636932126002829e-09 -1.2700844722719784e-09 -3.8540662339583786e-09 -5.1871992414813460e-09 +1.7301906087185721e-09 -6.8334974405207700e-10 -1.0365217931649934e-09 +9.4923833801403051e-10 -6.4339622005162774e-10 +5.1071721237589500e-10
                      +5 +4.2415258506548091e-11 +2.4794095223711332e-05 +2.8721989032425925e-06 +9.4148348187991467e-07 +4.9043629157444338e-07 +3.1726367060930192e-07 +1.3217051745678379e-07 +1.8379847835915879e-08 +1.1610365279164554e-06 +1.3709987554156873e-07 +3.7824528936779282e-08 +2.1732283569853869e-08 +8.6472076178876464e-09 +6.9805567550912751e-09 -1.3214372968300285e-08 -2.0569131446036233e-08 -2.5883655090098754e-08 -2.2065971071690795e-08 +2.8370300566635012e-09 -1.1086375288113311e-09 -2.0746880191900002e-09 -3.7219716016062754e-09 +1.3716466426913409e-09 +1.7592830914353205e-10 -6.0642524373246974e-10 +7.5268376388890117e-10 -4.7742424755674784e-10 +4.0131513496946127e-10
                      +6 +2.4505275282590615e-11 +2.6379644181624956e-05 +3.1554545422642224e-06 +1.0189638644915820e-06 +5.2109160225066829e-07 +3.3239827764468486e-07 +1.3866811924188044e-07 +1.4247498232202533e-08 +1.3709991462128123e-06 +1.9002130371170354e-07 +6.0726964597196411e-08 +3.4125877564673807e-08 +1.4791761821837923e-08 +5.6670516311893217e-09 -8.0076813096951248e-09 -1.6039342080962872e-08 -2.1408963128068309e-08 -1.9107075642369198e-08 +2.3355112963071220e-09 -7.6301262188357176e-10 -1.2923793698716254e-09 -2.7436876115363283e-09 +1.1282417612935302e-09 +7.8605657620561863e-11 -1.4846811350506624e-10 +6.1928343424058404e-10 -1.8478050315913512e-10 +3.2992946813412480e-10
                      +7 +1.5227131910566386e-11 +2.7554424108338117e-05 +3.4179858453797871e-06 +1.0954634528264834e-06 +5.5205472081489646e-07 +3.4786091228699336e-07 +1.4539402141740636e-07 +1.1324635399363491e-08 +1.5486048320724430e-06 +2.3721808099415955e-07 +8.2275720295438744e-08 +4.6348651164628290e-08 +2.0887483262400952e-08 +4.7091777352637945e-09 -5.0867929980094814e-09 -1.2117562401896837e-08 -1.7790198332544407e-08 -1.6585429691675720e-08 +1.9682807255939624e-09 -2.3764897750882855e-10 -1.1708381991952342e-09 -1.9735902514446127e-09 +9.5401910682804540e-10 -5.2520981327043214e-12 +7.6162925099026664e-11 +5.2085739116874381e-10 +4.3196010775864738e-11 +2.7791203863623623e-10
                      +8 +9.9897062633535895e-12 +2.8377771304661195e-05 +3.6601269526625888e-06 +1.1694810387236829e-06 +5.8279866845779165e-07 +3.6362715483796719e-07 +1.5223329639617091e-07 +9.1745348288102342e-09 +1.6986039266605436e-06 +2.7905700623825925e-07 +1.0284852504402191e-07 +5.8182614958949850e-08 +2.6837160431166606e-08 +3.9835678646343461e-09 -3.3115545909187902e-09 -8.8909990112293041e-09 -1.4927343288726359e-08 -1.4308364970730775e-08 +1.6874992849526257e-09 +1.4291426805471222e-10 -9.6483286021969358e-10 -1.4748396097935264e-09 +8.2328186311153189e-10 +2.0570877846512871e-10 +5.0728680683761522e-12 +4.5142783533859360e-10 +2.5605780917465982e-10 +2.3947819792448553e-10
