Maps: isw_bin0 euc6bins100div111111_bin0 euc6bins100div111111_bin1 euc6bins100div111111_bin2 euc6bins100div111111_bin3 euc6bins100div111111_bin4 euc6bins100div111111_bin5
nbar: -1.000e+00 3.125e+07 9.432e+07 1.019e+08 6.781e+07 3.366e+07 2.013e+07
Computed for pairs: isw-isw isw-euc6bins100div111111 euc6bins100div111111-euc6bins100div111111
runtag eucbintest6s100 (iswilk:), lmax=95, eps=1.0e-10,besselmincut=1, besselmaxcut=0
CAMBtag 'fid': Oc=0.259, Ob=0.0486, h0=0.677, w0=-1, ns=0.967, On=0 [OL=1-Om, Oc=Om-Ob-On. epsilon=1e-10]
k-data: kmin=1.000e-05, kmax=1.000e+01, kperlog=300, krcut(add,mult)=(50,20);
##############################
                         isw_bin0                euc6bins100div111111_bin0 euc6bins100div111111_bin1 euc6bins100div111111_bin2 euc6bins100div111111_bin3 euc6bins100div111111_bin4 euc6bins100div111111_bin5 isw_bin0                euc6bins100div111111_bin0 euc6bins100div111111_bin1 euc6bins100div111111_bin2 euc6bins100div111111_bin3 euc6bins100div111111_bin4 isw_bin0                euc6bins100div111111_bin0 euc6bins100div111111_bin1 euc6bins100div111111_bin2 euc6bins100div111111_bin3 isw_bin0                euc6bins100div111111_bin0 euc6bins100div111111_bin1 euc6bins100div111111_bin2 isw_bin0                euc6bins100div111111_bin0 euc6bins100div111111_bin1 isw_bin0                euc6bins100div111111_bin0 isw_bin0               
 lvals                   isw_bin0                euc6bins100div111111_bin0 euc6bins100div111111_bin1 euc6bins100div111111_bin2 euc6bins100div111111_bin3 euc6bins100div111111_bin4 euc6bins100div111111_bin5 euc6bins100div111111_bin0 euc6bins100div111111_bin1 euc6bins100div111111_bin2 euc6bins100div111111_bin3 euc6bins100div111111_bin4 euc6bins100div111111_bin5 euc6bins100div111111_bin1 euc6bins100div111111_bin2 euc6bins100div111111_bin3 euc6bins100div111111_bin4 euc6bins100div111111_bin5 euc6bins100div111111_bin2 euc6bins100div111111_bin3 euc6bins100div111111_bin4 euc6bins100div111111_bin5 euc6bins100div111111_bin3 euc6bins100div111111_bin4 euc6bins100div111111_bin5 euc6bins100div111111_bin4 euc6bins100div111111_bin5 euc6bins100div111111_bin5
                      +0 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00
                      +1 +2.5555434751000329e-09 +6.9799892685786350e-06 +1.0439167616030834e-06 +3.9511143154226827e-07 +2.2146958440178996e-07 +1.4991654598476669e-07 +7.4123676298312866e-08 +7.5764805902470749e-08 +6.6760885248395810e-07 +1.3446905732458999e-07 +7.9664041646460635e-08 +6.4583673051521953e-08 +3.2841900058291899e-08 +2.7884857266246221e-08 -1.4136966182678477e-07 -7.3354364520279883e-08 -4.5139887173910885e-08 -2.6256328345101110e-08 +1.2214968187018686e-08 -4.0278189065382251e-08 -3.2228857561114892e-08 -2.3331949148560040e-08 +6.5316854381681955e-09 -1.3138078032368754e-08 -1.0645167317675873e-08 +4.0066076502280510e-09 -5.0370242966594065e-09 +2.4156248634793133e-09
                      +2 +5.1969374724940138e-10 +9.2168263442239278e-06 +1.2943338103248055e-06 +4.5374215359867824e-07 +2.4330421837328029e-07 +1.6047442738234366e-07 +7.8912388543779909e-08 +4.3408159750425460e-08 +1.0972199912413917e-06 +2.1422765505428531e-07 +1.0689945641071824e-07 +7.7175047941075468e-08 +3.8729983853801801e-08 +1.6522017271015897e-08 -7.7004350486314469e-08 -4.9887758263136018e-08 -3.3687245422501653e-08 -2.0753906065741448e-08 +7.1504246701092099e-09 -2.3307436099198806e-08 -2.2958870029067169e-08 -1.8559459529124910e-08 +3.7109416739622975e-09 -6.6241812622750288e-09 -6.6522769811686845e-09 +2.1965196626571642e-09 -2.0584830412505767e-09 +1.2656090827387319e-09
                      +3 +1.8094908648062270e-10 +1.1123125621582562e-05 +1.5522216094591190e-06 +5.1879935051266392e-07 +2.6852765435633956e-07 +1.7297034622084092e-07 +8.4616806124525166e-08 +2.8783632118125733e-08 +1.4835400270042444e-06 +2.9387343855081287e-07 +1.3618364809988810e-07 +9.1331050641697836e-08 +4.5485575550943688e-08 +1.1453677626318067e-08 -3.1051052619834141e-08 -2.9971149743801987e-08 -2.2619681730860987e-08 -1.5113547549052573e-08 +4.9607772697803773e-09 -1.4005283984939334e-08 -1.6444968552546176e-08 -1.4610159598605677e-08 +2.5474976919392732e-09 -3.3357993531146851e-09 -4.2101675081807995e-09 +1.4847077217174769e-09 -1.1751846494512371e-09 +8.3443680610107893e-10
                      +4 +8.1243082782092643e-11 +1.2687094247991675e-05 +1.8032578593450521e-06 +5.8633139629533770e-07 +2.9557682339620429e-07 +1.8664083784832147e-07 +9.0932665351567364e-08 +2.0651277972131971e-08 +1.8219420881824855e-06 +3.7010398500860783e-07 +1.6586723661427244e-07 +1.0627303884534126e-07 +5.2703587327142796e-08 +8.5704016614160402e-09 +4.1251425181695595e-09 -1.3265219025904938e-08 -1.2432227913767968e-08 -9.6602199508350338e-09 +3.7478565967919707e-09 -9.1220387954473018e-09 -1.1782642681885824e-08 -1.1408387477429435e-08 +1.9187345653703073e-09 -1.5118017858543366e-09 -2.7722410162131381e-09 +1.1106527047812445e-09 -8.1964816399427643e-10 +6.1607779383479390e-10
                      +5 +4.2437423613110060e-11 +1.3940163276530732e-05 +2.0398667001272562e-06 +6.5391228543028722e-07 +3.2348648202507497e-07 +2.0106144641836430e-07 +9.7625381337666940e-08 +1.5570702520237934e-08 +2.1156470008064570e-06 +4.4213673322163456e-07 +1.9517124076928754e-07 +1.2145582177416184e-07 +6.0131598709243963e-08 +6.7268463392184703e-09 +3.2230425984060450e-08 +6.6672295232084449e-10 -3.1649455000411846e-09 -4.4813121586869929e-09 +2.9789380171301803e-09 -6.2339077391978154e-09 -8.4049572227408339e-09 -8.8756380348337022e-09 +1.5257157663199359e-09 -7.6686733533825895e-10 -1.8185553884095868e-09 +8.8078124148698513e-10 -4.2269431232449636e-10 +4.8539659987676131e-10
                      +6 +2.4516494420263336e-11 +1.4920178691600887e-05 +2.2588023980027540e-06 +7.2032460120601535e-07 +3.5169451315525305e-07 +2.1583593166878557e-07 +1.0455236621741144e-07 +1.2147775347001933e-08 +2.3698493239553278e-06 +5.0939331434783063e-07 +2.2353232913750844e-07 +1.3659354907222972e-07 +6.7641267527201359e-08 +5.4526225665936812e-09 +5.4797225024061658e-08 +1.2718598206595651e-08 +5.2754608551464942e-09 +3.4347769289762442e-10 +2.4486487484803826e-09 -3.8577453732491961e-09 -6.1411518680233778e-09 -6.8310468617134310e-09 +1.2579410151299629e-09 -6.0363484963014801e-10 -1.1385555843723938e-09 +7.2488996062872726e-10 -1.4424362616808297e-10 +3.9900721326136045e-10
                      +7 +1.5233984115536337e-11 +1.5663592212867655e-05 +2.4596872146277500e-06 +7.8471867591244100e-07 +3.7968040649521888e-07 +2.3076805527863983e-07 +1.1161202436065632e-07 +9.7177412778920099e-09 +2.5895031406778130e-06 +5.7129662521855025e-07 +2.5084055498782013e-07 +1.5154072166716999e-07 +7.5089870068526075e-08 +4.5243171713828685e-09 +7.3159541247548519e-08 +2.3500792185172106e-08 +1.2851519642439372e-08 +4.8454647964361310e-09 +2.0605175581570860e-09 -2.1705589346049823e-09 -4.4761339974807540e-09 -5.1532702041275576e-09 +1.0635179878668269e-09 -4.8012014741054132e-10 -8.0155189268720627e-10 +6.1283916426762052e-10 +4.9281513183815431e-12 +3.3684073464370897e-10
                      +8 +9.9933353042070539e-12 +1.6204119143256417e-05 +2.6432097664095218e-06 +8.4620182135418151e-07 +4.0719237358466106e-07 +2.4570948907958419e-07 +1.1870591481256071e-07 +7.9244600220922849e-09 +2.7782916923648455e-06 +6.2798046749670673e-07 +2.7706627897572857e-07 +1.6607937981630644e-07 +8.2444438519501024e-08 +3.8209308478856521e-09 +8.8536099867170065e-08 +3.2980237543268246e-08 +1.9774909907960498e-08 +9.0528303185146105e-09 +1.7645204317106623e-09 -8.4435488153150248e-10 -2.9786869093865544e-09 -3.8444470672055029e-09 +9.1605553503843164e-10 -1.5988388961462796e-10 -6.8045804121991873e-10 +5.2853921324795902e-10 +1.4135757649205724e-10 +2.8561448455989047e-10
