#    L    TT             EE             TE          
   508    0.23501E+04    0.68924E+01   -0.49230E+02
   509    0.23563E+04    0.68129E+01   -0.48187E+02
   510    0.23621E+04    0.67374E+01   -0.47128E+02
   511    0.23680E+04    0.66656E+01   -0.46053E+02
   512    0.23735E+04    0.65980E+01   -0.44963E+02
   513    0.23789E+04    0.65343E+01   -0.43860E+02
   514    0.23841E+04    0.64748E+01   -0.42743E+02
   515    0.23891E+04    0.64195E+01   -0.41613E+02
   516    0.23939E+04    0.63685E+01   -0.40471E+02
   517    0.23983E+04    0.63218E+01   -0.39318E+02
   518    0.24027E+04    0.62794E+01   -0.38154E+02
   519    0.24069E+04    0.62415E+01   -0.36979E+02
   520    0.24108E+04    0.62080E+01   -0.35796E+02
   521    0.24144E+04    0.61789E+01   -0.34604E+02
   522    0.24179E+04    0.61545E+01   -0.33404E+02
   523    0.24212E+04    0.61347E+01   -0.32197E+02
   524    0.24242E+04    0.61194E+01   -0.30983E+02
   525    0.24269E+04    0.61089E+01   -0.29762E+02
   526    0.24295E+04    0.61030E+01   -0.28537E+02
   527    0.24320E+04    0.61018E+01   -0.27307E+02
   528    0.24342E+04    0.61054E+01   -0.26074E+02
   529    0.24361E+04    0.61139E+01   -0.24838E+02
   530    0.24378E+04    0.61272E+01   -0.23600E+02
   531    0.24394E+04    0.61453E+01   -0.22359E+02
   532    0.24407E+04    0.61683E+01   -0.21118E+02
   533    0.24417E+04    0.61962E+01   -0.19877E+02
   534    0.24425E+04    0.62290E+01   -0.18636E+02
   535    0.24431E+04    0.62669E+01   -0.17397E+02
   536    0.24434E+04    0.63096E+01   -0.16159E+02
   537    0.24437E+04    0.63572E+01   -0.14924E+02
   538    0.24435E+04    0.64100E+01   -0.13693E+02
   539    0.24433E+04    0.64675E+01   -0.12466E+02
   540    0.24428E+04    0.65303E+01   -0.11243E+02
   541    0.24420E+04    0.65978E+01   -0.10026E+02
   542    0.24411E+04    0.66704E+01   -0.88153E+01
   543    0.24399E+04    0.67481E+01   -0.76114E+01
   544    0.24386E+04    0.68307E+01   -0.64150E+01
   545    0.24370E+04    0.69183E+01   -0.52265E+01
   546    0.24352E+04    0.70106E+01   -0.40471E+01
   547    0.24331E+04    0.71079E+01   -0.28770E+01
   548    0.24309E+04    0.72101E+01   -0.17172E+01
   549    0.24285E+04    0.73173E+01   -0.56828E+00
   550    0.24259E+04    0.74294E+01    0.56915E+00
   551    0.24231E+04    0.75465E+01    0.16945E+01
   552    0.24201E+04    0.76685E+01    0.28068E+01
   553    0.24169E+04    0.77940E+01    0.39058E+01
   554    0.24135E+04    0.79260E+01    0.49905E+01
   555    0.24099E+04    0.80622E+01    0.60604E+01
   556    0.24060E+04    0.82034E+01    0.71151E+01
   557    0.24021E+04    0.83489E+01    0.81529E+01
   558    0.23979E+04    0.85000E+01    0.91745E+01
   559    0.23934E+04    0.86547E+01    0.10179E+02
   560    0.23890E+04    0.88136E+01    0.11165E+02
   561    0.23841E+04    0.89776E+01    0.12132E+02
   562    0.23793E+04    0.91465E+01    0.13081E+02
   563    0.23742E+04    0.93190E+01    0.14011E+02
   564    0.23690E+04    0.94972E+01    0.14919E+02
   565    0.23636E+04    0.96782E+01    0.15807E+02
   566    0.23580E+04    0.98643E+01    0.16673E+02
   567    0.23523E+04    0.10054E+02    0.17518E+02
   568    0.23464E+04    0.10248E+02    0.18340E+02
   569    0.23404E+04    0.10447E+02    0.19141E+02
   570    0.23342E+04    0.10650E+02    0.19916E+02
   571    0.23278E+04    0.10857E+02    0.20667E+02
   572    0.23213E+04    0.11067E+02    0.21395E+02
   573    0.23147E+04    0.11281E+02    0.22097E+02
   574    0.23080E+04    0.11499E+02    0.22775E+02
   575    0.23011E+04    0.11720E+02    0.23426E+02
   576    0.22942E+04    0.11946E+02    0.24051E+02
   577    0.22870E+04    0.12175E+02    0.24650E+02
   578    0.22798E+04    0.12406E+02    0.25222E+02
   579    0.22724E+04    0.12643E+02    0.25768E+02
   580    0.22650E+04    0.12882E+02    0.26284E+02
   581    0.22573E+04    0.13124E+02    0.26774E+02
   582    0.22497E+04    0.13369E+02    0.27235E+02
   583    0.22419E+04    0.13618E+02    0.27666E+02
   584    0.22340E+04    0.13869E+02    0.28069E+02
   585    0.22261E+04    0.14123E+02    0.28443E+02
   586    0.22181E+04    0.14379E+02    0.28787E+02
   587    0.22100E+04    0.14639E+02    0.29102E+02
   588    0.22018E+04    0.14901E+02    0.29386E+02
   589    0.21935E+04    0.15166E+02    0.29640E+02
   590    0.21851E+04    0.15433E+02    0.29864E+02
   591    0.21767E+04    0.15703E+02    0.30057E+02
   592    0.21683E+04    0.15973E+02    0.30218E+02
   593    0.21598E+04    0.16248E+02    0.30349E+02
   594    0.21511E+04    0.16524E+02    0.30449E+02
   595    0.21424E+04    0.16800E+02    0.30517E+02
   596    0.21338E+04    0.17080E+02    0.30554E+02
   597    0.21251E+04    0.17360E+02    0.30559E+02
   598    0.21165E+04    0.17642E+02    0.30533E+02
   599    0.21078E+04    0.17926E+02    0.30476E+02
   600    0.20990E+04    0.18211E+02    0.30386E+02
   601    0.20903E+04    0.18498E+02    0.30264E+02
   602    0.20815E+04    0.18785E+02    0.30110E+02
   603    0.20726E+04    0.19074E+02    0.29926E+02
   604    0.20639E+04    0.19363E+02    0.29709E+02
   605    0.20551E+04    0.19653E+02    0.29460E+02
   606    0.20463E+04    0.19943E+02    0.29180E+02
   607    0.20374E+04    0.20235E+02    0.28867E+02
   608    0.20286E+04    0.20527E+02    0.28522E+02
   609    0.20199E+04    0.20818E+02    0.28146E+02
   610    0.20112E+04    0.21110E+02    0.27737E+02
   611    0.20025E+04    0.21402E+02    0.27297E+02
   612    0.19938E+04    0.21696E+02    0.26826E+02
   613    0.19851E+04    0.21986E+02    0.26323E+02
   614    0.19765E+04    0.22278E+02    0.25788E+02
   615    0.19680E+04    0.22569E+02    0.25222E+02
   616    0.19595E+04    0.22860E+02    0.24625E+02
   617    0.19511E+04    0.23151E+02    0.23998E+02
   618    0.19427E+04    0.23442E+02    0.23339E+02
   619    0.19343E+04    0.23732E+02    0.22651E+02
   620    0.19262E+04    0.24020E+02    0.21932E+02
   621    0.19179E+04    0.24308E+02    0.21184E+02
   622    0.19098E+04    0.24595E+02    0.20404E+02
   623    0.19018E+04    0.24880E+02    0.19597E+02
   624    0.18939E+04    0.25163E+02    0.18760E+02
   625    0.18860E+04    0.25446E+02    0.17893E+02
   626    0.18782E+04    0.25727E+02    0.16999E+02
   627    0.18705E+04    0.26006E+02    0.16075E+02
   628    0.18630E+04    0.26283E+02    0.15124E+02
   629    0.18556E+04    0.26558E+02    0.14145E+02
   630    0.18481E+04    0.26831E+02    0.13138E+02
   631    0.18408E+04    0.27103E+02    0.12105E+02
   632    0.18337E+04    0.27372E+02    0.11045E+02
   633    0.18267E+04    0.27639E+02    0.99588E+01
   634    0.18198E+04    0.27903E+02    0.88473E+01
   635    0.18130E+04    0.28165E+02    0.77107E+01
   636    0.18063E+04    0.28425E+02    0.65494E+01
   637    0.17997E+04    0.28681E+02    0.53629E+01
   638    0.17933E+04    0.28936E+02    0.41533E+01
   639    0.17871E+04    0.29186E+02    0.29197E+01
   640    0.17810E+04    0.29435E+02    0.16635E+01
   641    0.17750E+04    0.29680E+02    0.38464E+00
   642    0.17691E+04    0.29922E+02   -0.91606E+00
   643    0.17634E+04    0.30161E+02   -0.22382E+01
   644    0.17579E+04    0.30396E+02   -0.35811E+01
   645    0.17524E+04    0.30627E+02   -0.49446E+01
   646    0.17471E+04    0.30856E+02   -0.63280E+01
   647    0.17421E+04    0.31080E+02   -0.77311E+01
   648    0.17371E+04    0.31301E+02   -0.91522E+01
   649    0.17324E+04    0.31518E+02   -0.10592E+02
   650    0.17278E+04    0.31730E+02   -0.12049E+02
   651    0.17233E+04    0.31941E+02   -0.13523E+02
   652    0.17190E+04    0.32146E+02   -0.15014E+02
   653    0.17149E+04    0.32346E+02   -0.16520E+02
   654    0.17110E+04    0.32543E+02   -0.18040E+02
   655    0.17071E+04    0.32736E+02   -0.19576E+02
   656    0.17036E+04    0.32924E+02   -0.21125E+02
   657    0.17002E+04    0.33108E+02   -0.22687E+02
   658    0.16968E+04    0.33288E+02   -0.24262E+02
   659    0.16938E+04    0.33463E+02   -0.25848E+02
   660    0.16910E+04    0.33632E+02   -0.27445E+02
   661    0.16883E+04    0.33797E+02   -0.29052E+02
   662    0.16858E+04    0.33958E+02   -0.30669E+02
   663    0.16834E+04    0.34114E+02   -0.32296E+02
   664    0.16812E+04    0.34264E+02   -0.33931E+02
   665    0.16792E+04    0.34409E+02   -0.35573E+02
   666    0.16774E+04    0.34550E+02   -0.37223E+02
   667    0.16759E+04    0.34685E+02   -0.38878E+02
   668    0.16743E+04    0.34815E+02   -0.40540E+02
   669    0.16732E+04    0.34940E+02   -0.42207E+02
   670    0.16721E+04    0.35059E+02   -0.43876E+02
   671    0.16713E+04    0.35175E+02   -0.45550E+02
   672    0.16706E+04    0.35283E+02   -0.47228E+02
   673    0.16701E+04    0.35388E+02   -0.48906E+02
   674    0.16698E+04    0.35486E+02   -0.50586E+02
   675    0.16697E+04    0.35578E+02   -0.52267E+02
   676    0.16698E+04    0.35666E+02   -0.53947E+02
   677    0.16700E+04    0.35747E+02   -0.55626E+02
   678    0.16705E+04    0.35823E+02   -0.57305E+02
   679    0.16711E+04    0.35893E+02   -0.58980E+02
   680    0.16720E+04    0.35958E+02   -0.60654E+02
   681    0.16731E+04    0.36017E+02   -0.62322E+02
   682    0.16743E+04    0.36070E+02   -0.63988E+02
   683    0.16757E+04    0.36118E+02   -0.65649E+02
   684    0.16773E+04    0.36159E+02   -0.67305E+02
   685    0.16790E+04    0.36195E+02   -0.68954E+02
   686    0.16809E+04    0.36225E+02   -0.70588E+02
   687    0.16831E+04    0.36250E+02   -0.72219E+02
   688    0.16854E+04    0.36267E+02   -0.73844E+02
   689    0.16878E+04    0.36280E+02   -0.75455E+02
   690    0.16905E+04    0.36287E+02   -0.77061E+02
   691    0.16933E+04    0.36287E+02   -0.78653E+02
   692    0.16963E+04    0.36283E+02   -0.80232E+02
   693    0.16995E+04    0.36272E+02   -0.81806E+02
   694    0.17028E+04    0.36255E+02   -0.83358E+02
   695    0.17063E+04    0.36234E+02   -0.84898E+02
   696    0.17101E+04    0.36206E+02   -0.86439E+02
   697    0.17139E+04    0.36172E+02   -0.87953E+02
   698    0.17179E+04    0.36132E+02   -0.89453E+02
   699    0.17220E+04    0.36087E+02   -0.90933E+02
   700    0.17264E+04    0.36036E+02   -0.92400E+02
   701    0.17309E+04    0.35979E+02   -0.93854E+02
   702    0.17356E+04    0.35917E+02   -0.95280E+02
   703    0.17403E+04    0.35849E+02   -0.96709E+02
   704    0.17453E+04    0.35776E+02   -0.98102E+02
   705    0.17503E+04    0.35696E+02   -0.99474E+02
   706    0.17555E+04    0.35612E+02   -0.10083E+03
   707    0.17608E+04    0.35522E+02   -0.10217E+03
   708    0.17664E+04    0.35427E+02   -0.10348E+03
   709    0.17720E+04    0.35326E+02   -0.10478E+03
   710    0.17778E+04    0.35220E+02   -0.10605E+03
   711    0.17837E+04    0.35108E+02   -0.10729E+03
   712    0.17898E+04    0.34992E+02   -0.10852E+03
   713    0.17960E+04    0.34869E+02   -0.10971E+03
   714    0.18022E+04    0.34743E+02   -0.11089E+03
   715    0.18086E+04    0.34610E+02   -0.11204E+03
   716    0.18151E+04    0.34473E+02   -0.11317E+03
   717    0.18218E+04    0.34331E+02   -0.11426E+03
   718    0.18285E+04    0.34183E+02   -0.11533E+03
   719    0.18353E+04    0.34030E+02   -0.11637E+03
   720    0.18421E+04    0.33872E+02   -0.11739E+03
   721    0.18493E+04    0.33711E+02   -0.11837E+03
   722    0.18564E+04    0.33544E+02   -0.11932E+03
   723    0.18636E+04    0.33374E+02   -0.12025E+03
   724    0.18709E+04    0.33198E+02   -0.12115E+03
   725    0.18782E+04    0.33018E+02   -0.12202E+03
   726    0.18858E+04    0.32835E+02   -0.12285E+03
   727    0.18933E+04    0.32646E+02   -0.12366E+03
   728    0.19009E+04    0.32452E+02   -0.12444E+03
   729    0.19086E+04    0.32255E+02   -0.12519E+03
   730    0.19162E+04    0.32054E+02   -0.12590E+03
   731    0.19241E+04    0.31848E+02   -0.12657E+03
   732    0.19320E+04    0.31640E+02   -0.12722E+03
   733    0.19400E+04    0.31427E+02   -0.12784E+03
   734    0.19479E+04    0.31210E+02   -0.12841E+03
   735    0.19560E+04    0.30989E+02   -0.12896E+03
   736    0.19640E+04    0.30765E+02   -0.12947E+03
   737    0.19721E+04    0.30538E+02   -0.12996E+03
   738    0.19802E+04    0.30308E+02   -0.13039E+03
   739    0.19884E+04    0.30074E+02   -0.13080E+03
   740    0.19965E+04    0.29837E+02   -0.13118E+03
   741    0.20048E+04    0.29595E+02   -0.13153E+03
   742    0.20130E+04    0.29354E+02   -0.13183E+03
   743    0.20213E+04    0.29110E+02   -0.13210E+03
   744    0.20296E+04    0.28861E+02   -0.13233E+03
   745    0.20379E+04    0.28611E+02   -0.13254E+03
   746    0.20461E+04    0.28358E+02   -0.13269E+03
   747    0.20543E+04    0.28102E+02   -0.13282E+03
   748    0.20625E+04    0.27845E+02   -0.13292E+03
   749    0.20708E+04    0.27583E+02   -0.13299E+03
   750    0.20790E+04    0.27322E+02   -0.13301E+03
   751    0.20873E+04    0.27057E+02   -0.13300E+03
   752    0.20955E+04    0.26792E+02   -0.13295E+03
   753    0.21037E+04    0.26524E+02   -0.13286E+03
   754    0.21118E+04    0.26255E+02   -0.13274E+03
   755    0.21200E+04    0.25985E+02   -0.13259E+03
   756    0.21279E+04    0.25713E+02   -0.13240E+03
   757    0.21360E+04    0.25440E+02   -0.13216E+03
   758    0.21440E+04    0.25166E+02   -0.13190E+03
   759    0.21519E+04    0.24891E+02   -0.13160E+03
   760    0.21598E+04    0.24615E+02   -0.13127E+03
   761    0.21676E+04    0.24339E+02   -0.13090E+03
   762    0.21754E+04    0.24062E+02   -0.13049E+03
   763    0.21831E+04    0.23786E+02   -0.13005E+03
   764    0.21908E+04    0.23508E+02   -0.12958E+03
   765    0.21983E+04    0.23230E+02   -0.12907E+03
   766    0.22058E+04    0.22953E+02   -0.12853E+03
   767    0.22132E+04    0.22677E+02   -0.12795E+03
   768    0.22205E+04    0.22400E+02   -0.12733E+03
   769    0.22278E+04    0.22122E+02   -0.12669E+03
   770    0.22349E+04    0.21847E+02   -0.12601E+03
   771    0.22420E+04    0.21572E+02   -0.12529E+03
   772    0.22489E+04    0.21297E+02   -0.12453E+03
   773    0.22557E+04    0.21024E+02   -0.12375E+03
   774    0.22624E+04    0.20753E+02   -0.12294E+03
   775    0.22691E+04    0.20482E+02   -0.12210E+03
   776    0.22756E+04    0.20213E+02   -0.12122E+03
   777    0.22819E+04    0.19945E+02   -0.12031E+03
   778    0.22884E+04    0.19679E+02   -0.11936E+03
   779    0.22945E+04    0.19415E+02   -0.11839E+03
   780    0.23005E+04    0.19151E+02   -0.11739E+03
   781    0.23065E+04    0.18891E+02   -0.11636E+03
   782    0.23122E+04    0.18633E+02   -0.11531E+03
   783    0.23179E+04    0.18377E+02   -0.11422E+03
   784    0.23234E+04    0.18124E+02   -0.11309E+03
   785    0.23288E+04    0.17872E+02   -0.11195E+03
   786    0.23340E+04    0.17623E+02   -0.11075E+03
   787    0.23391E+04    0.17378E+02   -0.10954E+03
   788    0.23440E+04    0.17134E+02   -0.10831E+03
   789    0.23488E+04    0.16893E+02   -0.10705E+03
   790    0.23535E+04    0.16657E+02   -0.10576E+03
   791    0.23580E+04    0.16423E+02   -0.10444E+03
   792    0.23624E+04    0.16193E+02   -0.10310E+03
   793    0.23665E+04    0.15967E+02   -0.10173E+03
   794    0.23705E+04    0.15744E+02   -0.10034E+03
   795    0.23743E+04    0.15524E+02   -0.98921E+02
   796    0.23781E+04    0.15309E+02   -0.97487E+02
   797    0.23816E+04    0.15097E+02   -0.96024E+02
   798    0.23849E+04    0.14889E+02   -0.94547E+02
   799    0.23881E+04    0.14686E+02   -0.93046E+02
   800    0.23911E+04    0.14486E+02   -0.91523E+02
   801    0.23939E+04    0.14291E+02   -0.89986E+02
   802    0.23965E+04    0.14100E+02   -0.88410E+02
   803    0.23991E+04    0.13913E+02   -0.86835E+02
   804    0.24013E+04    0.13731E+02   -0.85229E+02
   805    0.24035E+04    0.13554E+02   -0.83609E+02
   806    0.24055E+04    0.13380E+02   -0.81973E+02
   807    0.24072E+04    0.13212E+02   -0.80322E+02
   808    0.24087E+04    0.13050E+02   -0.78648E+02
   809    0.24101E+04    0.12892E+02   -0.76966E+02
   810    0.24113E+04    0.12739E+02   -0.75261E+02
   811    0.24122E+04    0.12591E+02   -0.73542E+02
   812    0.24130E+04    0.12449E+02   -0.71812E+02
   813    0.24136E+04    0.12311E+02   -0.70072E+02
   814    0.24141E+04    0.12179E+02   -0.68318E+02
   815    0.24144E+04    0.12052E+02   -0.66553E+02
   816    0.24143E+04    0.11931E+02   -0.64777E+02
   817    0.24141E+04    0.11815E+02   -0.62990E+02
   818    0.24139E+04    0.11705E+02   -0.61194E+02
   819    0.24133E+04    0.11600E+02   -0.59389E+02
   820    0.24126E+04    0.11501E+02   -0.57574E+02
   821    0.24117E+04    0.11407E+02   -0.55754E+02
   822    0.24106E+04    0.11320E+02   -0.53926E+02
   823    0.24092E+04    0.11239E+02   -0.52091E+02
   824    0.24076E+04    0.11163E+02   -0.50250E+02
   825    0.24060E+04    0.11093E+02   -0.48405E+02
   826    0.24040E+04    0.11029E+02   -0.46555E+02
   827    0.24018E+04    0.10971E+02   -0.44702E+02
   828    0.23996E+04    0.10919E+02   -0.42847E+02
   829    0.23970E+04    0.10874E+02   -0.40989E+02
   830    0.23944E+04    0.10835E+02   -0.39131E+02
   831    0.23915E+04    0.10801E+02   -0.37273E+02
   832    0.23884E+04    0.10773E+02   -0.35414E+02
   833    0.23851E+04    0.10751E+02   -0.33556E+02
   834    0.23816E+04    0.10736E+02   -0.31700E+02
   835    0.23780E+04    0.10727E+02   -0.29845E+02
   836    0.23740E+04    0.10723E+02   -0.27993E+02
   837    0.23700E+04    0.10726E+02   -0.26145E+02
   838    0.23657E+04    0.10736E+02   -0.24300E+02
   839    0.23612E+04    0.10751E+02   -0.22459E+02
   840    0.23566E+04    0.10774E+02   -0.20624E+02
   841    0.23518E+04    0.10801E+02   -0.18796E+02
   842    0.23467E+04    0.10835E+02   -0.16972E+02
   843    0.23415E+04    0.10875E+02   -0.15159E+02
   844    0.23361E+04    0.10921E+02   -0.13352E+02
   845    0.23305E+04    0.10973E+02   -0.11555E+02
   846    0.23249E+04    0.11032E+02   -0.97674E+01
   847    0.23190E+04    0.11096E+02   -0.79894E+01
   848    0.23130E+04    0.11167E+02   -0.62230E+01
   849    0.23066E+04    0.11243E+02   -0.44673E+01
   850    0.23003E+04    0.11326E+02   -0.27235E+01
   851    0.22937E+04    0.11414E+02   -0.99212E+00
   852    0.22869E+04    0.11509E+02    0.72639E+00
   853    0.22800E+04    0.11610E+02    0.24313E+01
   854    0.22729E+04    0.11717E+02    0.41212E+01
   855    0.22656E+04    0.11829E+02    0.57970E+01
   856    0.22582E+04    0.11946E+02    0.74569E+01
   857    0.22506E+04    0.12070E+02    0.91001E+01
   858    0.22428E+04    0.12201E+02    0.10727E+02
   859    0.22349E+04    0.12335E+02    0.12337E+02
   860    0.22269E+04    0.12476E+02    0.13929E+02
   861    0.22187E+04    0.12622E+02    0.15502E+02
   862    0.22103E+04    0.12774E+02    0.17056E+02
   863    0.22018E+04    0.12932E+02    0.18590E+02
   864    0.21932E+04    0.13094E+02    0.20105E+02
   865    0.21842E+04    0.13262E+02    0.21597E+02
   866    0.21755E+04    0.13435E+02    0.23069E+02
   867    0.21664E+04    0.13615E+02    0.24518E+02
   868    0.21573E+04    0.13798E+02    0.25945E+02
   869    0.21480E+04    0.13987E+02    0.27350E+02
   870    0.21385E+04    0.14181E+02    0.28731E+02
   871    0.21290E+04    0.14380E+02    0.30088E+02
   872    0.21193E+04    0.14584E+02    0.31422E+02
   873    0.21095E+04    0.14792E+02    0.32730E+02
   874    0.20996E+04    0.15006E+02    0.34013E+02
   875    0.20895E+04    0.15223E+02    0.35272E+02
   876    0.20793E+04    0.15446E+02    0.36505E+02
   877    0.20692E+04    0.15673E+02    0.37710E+02
   878    0.20588E+04    0.15904E+02    0.38890E+02
   879    0.20484E+04    0.16140E+02    0.40042E+02
   880    0.20379E+04    0.16380E+02    0.41168E+02
   881    0.20273E+04    0.16623E+02    0.42264E+02
   882    0.20165E+04    0.16870E+02    0.43333E+02
   883    0.20058E+04    0.17123E+02    0.44372E+02
   884    0.19949E+04    0.17377E+02    0.45384E+02
   885    0.19839E+04    0.17637E+02    0.46366E+02
   886    0.19728E+04    0.17900E+02    0.47318E+02
   887    0.19617E+04    0.18166E+02    0.48241E+02
   888    0.19506E+04    0.18436E+02    0.49133E+02
   889    0.19392E+04    0.18708E+02    0.49995E+02
   890    0.19278E+04    0.18985E+02    0.50826E+02
   891    0.19165E+04    0.19264E+02    0.51626E+02
   892    0.19051E+04    0.19546E+02    0.52397E+02
   893    0.18935E+04    0.19831E+02    0.53135E+02
   894    0.18820E+04    0.20119E+02    0.53842E+02
   895    0.18704E+04    0.20409E+02    0.54519E+02
   896    0.18587E+04    0.20702E+02    0.55164E+02
   897    0.18470E+04    0.20998E+02    0.55778E+02
   898    0.18353E+04    0.21296E+02    0.56360E+02
   899    0.18236E+04    0.21596E+02    0.56909E+02
   900    0.18118E+04    0.21898E+02    0.57427E+02
   901    0.18000E+04    0.22202E+02    0.57912E+02
   902    0.17882E+04    0.22507E+02    0.58366E+02
   903    0.17762E+04    0.22815E+02    0.58787E+02
   904    0.17645E+04    0.23123E+02    0.59175E+02
   905    0.17525E+04    0.23434E+02    0.59530E+02
   906    0.17406E+04    0.23746E+02    0.59853E+02
   907    0.17288E+04    0.24058E+02    0.60143E+02
   908    0.17170E+04    0.24372E+02    0.60401E+02
   909    0.17051E+04    0.24687E+02    0.60625E+02
   910    0.16932E+04    0.25003E+02    0.60817E+02
   911    0.16813E+04    0.25319E+02    0.60976E+02
   912    0.16694E+04    0.25636E+02    0.61103E+02
   913    0.16573E+04    0.25953E+02    0.61196E+02
   914    0.16455E+04    0.26270E+02    0.61258E+02
   915    0.16336E+04    0.26588E+02    0.61288E+02
   916    0.16219E+04    0.26905E+02    0.61284E+02
   917    0.16100E+04    0.27224E+02    0.61250E+02
   918    0.15983E+04    0.27541E+02    0.61182E+02
   919    0.15866E+04    0.27858E+02    0.61083E+02
   920    0.15749E+04    0.28174E+02    0.60950E+02
   921    0.15633E+04    0.28491E+02    0.60787E+02
   922    0.15516E+04    0.28806E+02    0.60591E+02
   923    0.15401E+04    0.29119E+02    0.60365E+02
   924    0.15285E+04    0.29433E+02    0.60107E+02
   925    0.15172E+04    0.29745E+02    0.59817E+02
   926    0.15057E+04    0.30056E+02    0.59498E+02
   927    0.14944E+04    0.30365E+02    0.59147E+02
   928    0.14831E+04    0.30674E+02    0.58766E+02
   929    0.14719E+04    0.30980E+02    0.58355E+02
   930    0.14607E+04    0.31284E+02    0.57914E+02
   931    0.14496E+04    0.31588E+02    0.57444E+02
   932    0.14386E+04    0.31888E+02    0.56944E+02
   933    0.14277E+04    0.32186E+02    0.56416E+02
   934    0.14168E+04    0.32484E+02    0.55859E+02
   935    0.14060E+04    0.32778E+02    0.55273E+02
   936    0.13954E+04    0.33069E+02    0.54659E+02
   937    0.13847E+04    0.33359E+02    0.54018E+02
   938    0.13742E+04    0.33646E+02    0.53349E+02
   939    0.13638E+04    0.33929E+02    0.52653E+02
   940    0.13535E+04    0.34210E+02    0.51930E+02
   941    0.13432E+04    0.34487E+02    0.51180E+02
   942    0.13330E+04    0.34762E+02    0.50405E+02
   943    0.13231E+04    0.35033E+02    0.49604E+02
   944    0.13132E+04    0.35301E+02    0.48777E+02
   945    0.13033E+04    0.35564E+02    0.47926E+02
   946    0.12936E+04    0.35826E+02    0.47050E+02
   947    0.12840E+04    0.36083E+02    0.46151E+02
   948    0.12743E+04    0.36337E+02    0.45228E+02
   949    0.12650E+04    0.36586E+02    0.44282E+02
   950    0.12557E+04    0.36832E+02    0.43314E+02
   951    0.12466E+04    0.37075E+02    0.42323E+02
   952    0.12375E+04    0.37313E+02    0.41311E+02
   953    0.12286E+04    0.37546E+02    0.40278E+02
   954    0.12198E+04    0.37775E+02    0.39223E+02
   955    0.12111E+04    0.38000E+02    0.38149E+02
   956    0.12025E+04    0.38221E+02    0.37054E+02
   957    0.11941E+04    0.38436E+02    0.35941E+02
   958    0.11857E+04    0.38646E+02    0.34807E+02
   959    0.11776E+04    0.38853E+02    0.33656E+02
   960    0.11695E+04    0.39054E+02    0.32488E+02
   961    0.11615E+04    0.39250E+02    0.31302E+02
   962    0.11538E+04    0.39442E+02    0.30100E+02
   963    0.11462E+04    0.39628E+02    0.28882E+02
   964    0.11387E+04    0.39809E+02    0.27649E+02
   965    0.11313E+04    0.39985E+02    0.26400E+02
   966    0.11241E+04    0.40156E+02    0.25137E+02
   967    0.11169E+04    0.40323E+02    0.23860E+02
   968    0.11099E+04    0.40482E+02    0.22570E+02
   969    0.11032E+04    0.40636E+02    0.21267E+02
   970    0.10965E+04    0.40785E+02    0.19952E+02
   971    0.10900E+04    0.40929E+02    0.18625E+02
   972    0.10835E+04    0.41066E+02    0.17287E+02
   973    0.10772E+04    0.41197E+02    0.15938E+02
   974    0.10712E+04    0.41324E+02    0.14579E+02
   975    0.10652E+04    0.41445E+02    0.13211E+02
   976    0.10594E+04    0.41558E+02    0.11834E+02
   977    0.10538E+04    0.41667E+02    0.10449E+02
   978    0.10482E+04    0.41770E+02    0.90569E+01
   979    0.10429E+04    0.41867E+02    0.76577E+01
   980    0.10377E+04    0.41958E+02    0.62518E+01
   981    0.10326E+04    0.42041E+02    0.48399E+01
   982    0.10277E+04    0.42120E+02    0.34229E+01
   983    0.10229E+04    0.42193E+02    0.20010E+01
   984    0.10183E+04    0.42257E+02    0.57479E+00
   985    0.10138E+04    0.42318E+02   -0.85521E+00
   986    0.10095E+04    0.42371E+02   -0.22880E+01
   987    0.10052E+04    0.42419E+02   -0.37238E+01
   988    0.10012E+04    0.42461E+02   -0.51614E+01
   989    0.99735E+03    0.42496E+02   -0.65994E+01
   990    0.99362E+03    0.42528E+02   -0.80394E+01
   991    0.99003E+03    0.42550E+02   -0.94792E+01
   992    0.98659E+03    0.42567E+02   -0.10919E+02
   993    0.98321E+03    0.42577E+02   -0.12358E+02
   994    0.98006E+03    0.42582E+02   -0.13795E+02
   995    0.97711E+03    0.42580E+02   -0.15230E+02
   996    0.97424E+03    0.42571E+02   -0.16663E+02
   997    0.97151E+03    0.42557E+02   -0.18093E+02
   998    0.96893E+03    0.42536E+02   -0.19519E+02
   999    0.96649E+03    0.42510E+02   -0.20941E+02
  1000    0.96419E+03    0.42477E+02   -0.22358E+02
  1001    0.96203E+03    0.42438E+02   -0.23769E+02
  1002    0.95995E+03    0.42392E+02   -0.25174E+02
  1003    0.95808E+03    0.42341E+02   -0.26574E+02
  1004    0.95636E+03    0.42284E+02   -0.27966E+02
  1005    0.95485E+03    0.42220E+02   -0.29350E+02
  1006    0.95342E+03    0.42150E+02   -0.30726E+02
  1007    0.95205E+03    0.42073E+02   -0.32094E+02
  1008    0.95061E+03    0.41991E+02   -0.33452E+02
  1009    0.94953E+03    0.41903E+02   -0.34800E+02
  1010    0.94860E+03    0.41809E+02   -0.36139E+02
  1011    0.94774E+03    0.41711E+02   -0.37466E+02
  1012    0.94703E+03    0.41605E+02   -0.38784E+02
  1013    0.94646E+03    0.41495E+02   -0.40088E+02
  1014    0.94604E+03    0.41379E+02   -0.41382E+02
