#    L    TT             EE             TE          
   117    0.30348E+04    0.88913E+00   -0.30999E+02
   118    0.30669E+04    0.89811E+00   -0.31542E+02
   119    0.30991E+04    0.90680E+00   -0.32076E+02
   120    0.31314E+04    0.91504E+00   -0.32601E+02
   121    0.31637E+04    0.92313E+00   -0.33118E+02
   122    0.31961E+04    0.93077E+00   -0.33625E+02
   123    0.32285E+04    0.93803E+00   -0.34124E+02
   124    0.32611E+04    0.94497E+00   -0.34610E+02
   125    0.32936E+04    0.95153E+00   -0.35086E+02
   126    0.33262E+04    0.95776E+00   -0.35552E+02
   127    0.33588E+04    0.96353E+00   -0.36006E+02
   128    0.33915E+04    0.96896E+00   -0.36449E+02
   129    0.34241E+04    0.97392E+00   -0.36878E+02
   130    0.34568E+04    0.97839E+00   -0.37294E+02
   131    0.34895E+04    0.98253E+00   -0.37699E+02
   132    0.35223E+04    0.98617E+00   -0.38088E+02
   133    0.35550E+04    0.98941E+00   -0.38464E+02
   134    0.35876E+04    0.99223E+00   -0.38823E+02
   135    0.36203E+04    0.99457E+00   -0.39168E+02
   136    0.36528E+04    0.99643E+00   -0.39495E+02
   137    0.36854E+04    0.99787E+00   -0.39806E+02
   138    0.37178E+04    0.99884E+00   -0.40100E+02
   139    0.37500E+04    0.99947E+00   -0.40376E+02
   140    0.37823E+04    0.99955E+00   -0.40635E+02
   141    0.38144E+04    0.99915E+00   -0.40874E+02
   142    0.38464E+04    0.99835E+00   -0.41094E+02
   143    0.38784E+04    0.99714E+00   -0.41296E+02
   144    0.39102E+04    0.99546E+00   -0.41478E+02
   145    0.39418E+04    0.99345E+00   -0.41640E+02
   146    0.39735E+04    0.99090E+00   -0.41781E+02
   147    0.40048E+04    0.98801E+00   -0.41901E+02
   148    0.40360E+04    0.98466E+00   -0.42000E+02
   149    0.40671E+04    0.98090E+00   -0.42077E+02
   150    0.40978E+04    0.97683E+00   -0.42131E+02
   151    0.41285E+04    0.97236E+00   -0.42163E+02
   152    0.41588E+04    0.96741E+00   -0.42173E+02
   153    0.41890E+04    0.96214E+00   -0.42158E+02
   154    0.42189E+04    0.95654E+00   -0.42120E+02
   155    0.42487E+04    0.95061E+00   -0.42059E+02
   156    0.42780E+04    0.94434E+00   -0.41975E+02
   157    0.43073E+04    0.93774E+00   -0.41866E+02
   158    0.43363E+04    0.93086E+00   -0.41733E+02
   159    0.43650E+04    0.92357E+00   -0.41576E+02
   160    0.43934E+04    0.91601E+00   -0.41393E+02
   161    0.44217E+04    0.90825E+00   -0.41187E+02
   162    0.44496E+04    0.90014E+00   -0.40956E+02
   163    0.44774E+04    0.89174E+00   -0.40701E+02
   164    0.45047E+04    0.88314E+00   -0.40421E+02
   165    0.45319E+04    0.87425E+00   -0.40115E+02
   166    0.45588E+04    0.86523E+00   -0.39784E+02
   167    0.45855E+04    0.85583E+00   -0.39430E+02
   168    0.46117E+04    0.84644E+00   -0.39049E+02
   169    0.46376E+04    0.83676E+00   -0.38642E+02
   170    0.46632E+04    0.82699E+00   -0.38211E+02
   171    0.46884E+04    0.81715E+00   -0.37752E+02
   172    0.47132E+04    0.80715E+00   -0.37269E+02
   173    0.47376E+04    0.79700E+00   -0.36760E+02
   174    0.47616E+04    0.78697E+00   -0.36226E+02
   175    0.47853E+04    0.77679E+00   -0.35665E+02
   176    0.48084E+04    0.76666E+00   -0.35079E+02
   177    0.48312E+04    0.75651E+00   -0.34468E+02
   178    0.48536E+04    0.74656E+00   -0.33831E+02
   179    0.48755E+04    0.73653E+00   -0.33168E+02
   180    0.48971E+04    0.72662E+00   -0.32480E+02
   181    0.49182E+04    0.71685E+00   -0.31768E+02
   182    0.49389E+04    0.70729E+00   -0.31030E+02
   183    0.49590E+04    0.69786E+00   -0.30268E+02
   184    0.49788E+04    0.68863E+00   -0.29480E+02
   185    0.49982E+04    0.67977E+00   -0.28670E+02
   186    0.50168E+04    0.67112E+00   -0.27833E+02
   187    0.50353E+04    0.66282E+00   -0.26972E+02
   188    0.50532E+04    0.65487E+00   -0.26088E+02
   189    0.50706E+04    0.64730E+00   -0.25180E+02
   190    0.50879E+04    0.64017E+00   -0.24249E+02
   191    0.51043E+04    0.63349E+00   -0.23293E+02
   192    0.51204E+04    0.62729E+00   -0.22315E+02
   193    0.51359E+04    0.62161E+00   -0.21315E+02
   194    0.51510E+04    0.61649E+00   -0.20291E+02
   195    0.51657E+04    0.61196E+00   -0.19246E+02
   196    0.51797E+04    0.60806E+00   -0.18179E+02
   197    0.51934E+04    0.60484E+00   -0.17092E+02
   198    0.52066E+04    0.60231E+00   -0.15983E+02
   199    0.52193E+04    0.60051E+00   -0.14853E+02
   200    0.52316E+04    0.59948E+00   -0.13704E+02
   201    0.52433E+04    0.59928E+00   -0.12534E+02
   202    0.52545E+04    0.59990E+00   -0.11345E+02
   203    0.52652E+04    0.60139E+00   -0.10136E+02
   204    0.52753E+04    0.60377E+00   -0.89100E+01
   205    0.52849E+04    0.60708E+00   -0.76650E+01
   206    0.52939E+04    0.61135E+00   -0.64022E+01
   207    0.53024E+04    0.61658E+00   -0.51219E+01
   208    0.53102E+04    0.62283E+00   -0.38246E+01
   209    0.53174E+04    0.63010E+00   -0.25107E+01
   210    0.53242E+04    0.63845E+00   -0.11810E+01
   211    0.53303E+04    0.64789E+00    0.16435E+00
   212    0.53358E+04    0.65844E+00    0.15245E+01
   213    0.53408E+04    0.67015E+00    0.28995E+01
   214    0.53451E+04    0.68299E+00    0.42882E+01
   215    0.53489E+04    0.69715E+00    0.56898E+01
   216    0.53521E+04    0.71243E+00    0.71049E+01
   217    0.53548E+04    0.72899E+00    0.85315E+01
   218    0.53568E+04    0.74682E+00    0.99698E+01
   219    0.53583E+04    0.76591E+00    0.11421E+02
   220    0.53593E+04    0.78639E+00    0.12880E+02
   221    0.53597E+04    0.80819E+00    0.14350E+02
   222    0.53595E+04    0.83145E+00    0.15829E+02
   223    0.53586E+04    0.85608E+00    0.17318E+02
   224    0.53573E+04    0.88208E+00    0.18813E+02
