                         isw_bin0                euc1bincatz0e+00_bin0   euc1bincatz1e-03_bin0   euc1bincatz5e-03_bin0   euc1bincatz1e-02_bin0   euc1bincatz2e-02_bin0   euc1bincatz5e-02_bin0   euc1bincatz1e-01_bin0   euc1bincatz2e-01_bin0   isw_bin0                euc1bincatz0e+00_bin0   euc1bincatz1e-03_bin0   euc1bincatz5e-03_bin0   euc1bincatz1e-02_bin0   euc1bincatz2e-02_bin0   euc1bincatz5e-02_bin0   euc1bincatz1e-01_bin0   isw_bin0                euc1bincatz0e+00_bin0   euc1bincatz1e-03_bin0   euc1bincatz5e-03_bin0   euc1bincatz1e-02_bin0   euc1bincatz2e-02_bin0   euc1bincatz5e-02_bin0   isw_bin0                euc1bincatz0e+00_bin0   euc1bincatz1e-03_bin0   euc1bincatz5e-03_bin0   euc1bincatz1e-02_bin0   euc1bincatz2e-02_bin0   isw_bin0                euc1bincatz0e+00_bin0   euc1bincatz1e-03_bin0   euc1bincatz5e-03_bin0   euc1bincatz1e-02_bin0   isw_bin0                euc1bincatz0e+00_bin0   euc1bincatz1e-03_bin0   euc1bincatz5e-03_bin0   isw_bin0                euc1bincatz0e+00_bin0   euc1bincatz1e-03_bin0   isw_bin0                euc1bincatz0e+00_bin0   isw_bin0               
 lvals                   isw_bin0                euc1bincatz0e+00_bin0   euc1bincatz1e-03_bin0   euc1bincatz5e-03_bin0   euc1bincatz1e-02_bin0   euc1bincatz2e-02_bin0   euc1bincatz5e-02_bin0   euc1bincatz1e-01_bin0   euc1bincatz2e-01_bin0   euc1bincatz0e+00_bin0   euc1bincatz1e-03_bin0   euc1bincatz5e-03_bin0   euc1bincatz1e-02_bin0   euc1bincatz2e-02_bin0   euc1bincatz5e-02_bin0   euc1bincatz1e-01_bin0   euc1bincatz2e-01_bin0   euc1bincatz1e-03_bin0   euc1bincatz5e-03_bin0   euc1bincatz1e-02_bin0   euc1bincatz2e-02_bin0   euc1bincatz5e-02_bin0   euc1bincatz1e-01_bin0   euc1bincatz2e-01_bin0   euc1bincatz5e-03_bin0   euc1bincatz1e-02_bin0   euc1bincatz2e-02_bin0   euc1bincatz5e-02_bin0   euc1bincatz1e-01_bin0   euc1bincatz2e-01_bin0   euc1bincatz1e-02_bin0   euc1bincatz2e-02_bin0   euc1bincatz5e-02_bin0   euc1bincatz1e-01_bin0   euc1bincatz2e-01_bin0   euc1bincatz2e-02_bin0   euc1bincatz5e-02_bin0   euc1bincatz1e-01_bin0   euc1bincatz2e-01_bin0   euc1bincatz5e-02_bin0   euc1bincatz1e-01_bin0   euc1bincatz2e-01_bin0   euc1bincatz1e-01_bin0   euc1bincatz2e-01_bin0   euc1bincatz2e-01_bin0  
                      +9 +6.8455178655637482e-12 +7.4505233107848507e-07 +7.4506135671164698e-07 +7.4540997755798271e-07 +7.4655352727164046e-07 +7.5108882602955352e-07 +7.8042785886582492e-07 +8.6965305157960660e-07 +1.1370127107593771e-06 +2.1465795672931203e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.1468808581719400e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.1480771292195792e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.1496408783586894e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.1525304004109466e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.1607445214117483e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.1730046588702073e-09 +0.0000000000000000e+00 +2.1931107451949863e-09
                     +10 +4.8488981206644170e-12 +7.8252003760528071e-07 +7.8241979186794272e-07 +7.8231650649315969e-07 +7.8284466005062129e-07 +7.8595881628387258e-07 +8.0977726637495128e-07 +8.8662539162278225e-07 +1.1226636082098492e-06 +1.8507163055725363e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.8508233513455380e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.8512483718524939e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.8517726356861914e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.8527445007771343e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.8559162258737680e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.8603513005716601e-09 +0.0000000000000000e+00 +1.8673059075672134e-09
                     +11 +3.5333662471137889e-12 +8.1538397743591043e-07 +8.1518057720833051e-07 +8.1463556972260483e-07 +8.1456449657091806e-07 +8.1633773935227996e-07 +8.3507638697727565e-07 +9.0088304833347914e-07 +1.1094489202715481e-06 +1.6119657584956373e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.6119454713907275e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.6118649224235346e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.6117655649525079e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.6115464748408711e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.6109738151888900e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.6100613207638955e-09 +0.0000000000000000e+00 +1.6088214655808951e-09
                     +12 +2.6343531524094448e-12 +8.4407895029023888e-07 +8.4386233287069802e-07 +8.4280134104595005e-07 +8.4215367113215454e-07 +8.4264617889660237e-07 +8.5669807170887264e-07 +9.1253456320844450e-07 +1.0968251822570968e-06 +1.4153656663151525e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.4152626689285435e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.4148537224918698e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.4143492857622666e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.4133772181290709e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.4104681473481059e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.4062767754621283e-09 +0.0000000000000000e+00 +1.3993538159269686e-09
                     +13 +2.0066717233065070e-12 +8.6899018015101985e-07 +8.6857977368416559e-07 +8.6719316346064448e-07 +8.6599464107877649e-07 +8.6528017838794288e-07 +8.7499535699843826e-07 +9.2182132875715669e-07 +1.0845087441927897e-06 +1.2517282313035630e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.2515711364924208e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.2509473985856598e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.2501780160582145e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.2486704988007318e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.2424865478960899e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.2380303098090934e-09 +0.0000000000000000e+00 +1.2274858203114844e-09
                     +14 +1.5523512394773753e-12 +8.9045791254271422e-07 +8.8995374524086470e-07 +8.8817506457492593e-07 +8.8645514370486346e-07 +8.8461107481745351e-07 +8.9032554100272636e-07 +9.2898772909210645e-07 +1.0723764028215365e-06 +1.1139413333511766e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1137418880631523e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1129777081779671e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1120350899493028e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1101803019556699e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1062781678321349e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0993765046193456e-09 +0.0000000000000000e+00 +1.0843172063472265e-09
                     +15 +1.2219587148833307e-12 +9.0880495530100900e-07 +9.0820915909086210e-07 +9.0606393595423390e-07 +9.0385879428696932e-07 +9.0096047196378914e-07 +9.0302089934594295e-07 +9.3430461665936889e-07 +1.0604393994476009e-06 +9.9676620924426704e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.9655122704990040e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.9569764985145704e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.9464475982593007e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.9257020789019656e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.8670112400339404e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.7818023868657746e-10 +0.0000000000000000e+00 +9.6381043159435677e-10
                     +16 +9.7274326066488367e-13 +9.2430446443635535e-07 +9.2363136169768673e-07 +9.2114651182024512e-07 +9.1849592030915855e-07 +9.1464699509746586e-07 +9.1338004870275015e-07 +9.3802230591527403e-07 +1.0487326663268064e-06 +8.9624199597222414e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.9602067501762358e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.9512119596230248e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.9401168586770487e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.9182022041725417e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.8470885696309636e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.7639111468180504e-10 +0.0000000000000000e+00 +8.6138600475357767e-10
                     +17 +7.8256808411561705e-13 +9.3721775677788905e-07 +9.3646881107829453e-07 +9.3367028457668898e-07 +9.3062369869661231e-07 +9.2591542165913355e-07 +9.2167521863808961e-07 +9.4036997147708882e-07 +1.0373424966088613e-06 +8.0920933028820074e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.0893518525672818e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.0800992352183948e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.0686861041488561e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.0464176990555919e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +7.9839548588361222e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +7.8914833527438236e-10 +0.0000000000000000e+00 +7.7364671604107531e-10
                     +18 +6.3754971001467898e-13 +9.4776521152450076e-07 +9.4694932065490244e-07 +9.4388363461875927e-07 +9.4047674873162426e-07 +9.3500668339361128e-07 +9.2811641032722257e-07 +9.4153888512964456e-07 +1.0262535626826619e-06 +7.3355250231858455e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +7.3316635036491097e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +7.3234523124621450e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +7.3135035502409700e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +7.2936843033832470e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +7.2376377312438632e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +7.1528128616745074e-10 +0.0000000000000000e+00 +6.9789095786163916e-10
                     +19 +5.2443036611783125e-13 +9.5615685880428536e-07 +9.5527972338971225e-07 +9.5198352352137408e-07 +9.4826481154263485e-07 +9.4212619318672014e-07 +9.3290960214696720e-07 +9.4166200530658521e-07 +1.0155043179682109e-06 +6.6720199925691176e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.6694663039959342e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.6603622449317801e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.6491323577950199e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.6297837991062245e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.5709251407892507e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.4868683253384561e-10 +0.0000000000000000e+00 +6.3472023941491105e-10
                     +20 +4.3505242333894887e-13 +9.6166539477223430e-07 +9.6076005803808782e-07 +9.5731947348098421e-07 +9.5341498467295676e-07 +9.4685951333605500e-07 +9.3607892645737230e-07 +9.4144730503827305e-07 +1.0068912041381645e-06 +6.0959174819887295e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.0936580083740264e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.0846868693052561e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.0736209425335750e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.0519688663882814e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.9906116135048422e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.8989474385859680e-10 +0.0000000000000000e+00 +5.7471570512821419e-10
                     +21 +3.6318839888461982e-13 +9.6645073512349496e-07 +9.6549757176240555e-07 +9.6186024981154053e-07 +9.5769748319708088e-07 +9.5058798987590396e-07 +9.3787788211413660e-07 +9.3938245636127792e-07 +9.9582713352778974e-07 +5.5775782757712656e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.5753926326279245e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.5667146341473794e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.5560102971648773e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.5350657234105132e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.4757133777158574e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.3870444177815577e-10 +0.0000000000000000e+00 +5.2436361215261160e-10
                     +22 +3.0528221104653492e-13 +9.6960067563923609e-07 +9.6860664310180530e-07 +9.6478198086622430e-07 +9.6038810120415726e-07 +9.5278052199439378e-07 +9.3834404396505881e-07 +9.3638886600518998e-07 +9.8482869977719752e-07 +5.1176324078961788e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.1155328548607667e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.1071966733080784e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.0969139685246792e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.0767943787656681e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.0197798574573649e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.9346034714798462e-10 +0.0000000000000000e+00 +4.7949927284331973e-10
                     +23 +2.5852865001711183e-13 +9.7124644771657457e-07 +9.7021171414866146e-07 +9.6624026468934030e-07 +9.6163943012985579e-07 +9.5358650465347388e-07 +9.3760055418235648e-07 +9.3253687513744815e-07 +9.7372638300713729e-07 +4.7086752464798862e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.7066652940047111e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.6986848674741111e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.6888409875705453e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.6695800217576997e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.6131813986379365e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.5318755630291982e-10 +0.0000000000000000e+00 +4.3972379656468622e-10
                     +24 +2.2001844425176415e-13 +9.7155605350326344e-07 +9.7048780114091745e-07 +9.6637945164312318e-07 +9.6159474793999326e-07 +9.5314994839137788e-07 +9.3575341340260714e-07 +9.2785689626713097e-07 +9.6239345010079867e-07 +4.3380722119068358e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.3361565612439113e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.3285505558466381e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.3191685255267148e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.3007215032529747e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.2487079586164150e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.1710027415531027e-10 +0.0000000000000000e+00 +4.0423275529747186e-10
                     +25 +1.8827688561715919e-13 +9.7063970729717072e-07 +9.6954146226762773e-07 +9.6530596551197682e-07 +9.6035686938110329e-07 +9.5155037736439740e-07 +9.3291223008298614e-07 +9.2245991450515702e-07 +9.5096299437011009e-07 +4.0069903974227305e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.0051676342959951e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.9979304347122050e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.9890033274621467e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.9715361591062416e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.9220744530436103e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.8479266653106908e-10 +0.0000000000000000e+00 +3.7251423667811644e-10
                     +26 +1.6193296087883590e-13 +9.6861934095090776e-07 +9.6749500735801885e-07 +9.6315143033200890e-07 +9.5805819656759991e-07 +9.4893987449674040e-07 +9.2918952913812149e-07 +9.1644972568570418e-07 +9.3951784885700804e-07 +3.7078637422435517e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.7061313537550999e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.6992529826359459e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.6907684913662073e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.6741673647894304e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.6271233993661533e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.5570553253462413e-10 +0.0000000000000000e+00 +3.4400850196210552e-10
                     +27 +1.3993547108010141e-13 +9.6560106019000849e-07 +9.6445411559588443e-07 +9.6001681077632064e-07 +9.5479892899740234e-07 +9.4540753033754653e-07 +9.2467349390911570e-07 +9.0988877080644132e-07 +9.2806593529793129e-07 +3.4388495969533457e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.4372018086987291e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.4306593390292982e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.4225891831986617e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.4067987634575846e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.3620521640697209e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.2952033414683269e-10 +0.0000000000000000e+00 +3.1821347293965646e-10
                     +28 +1.2146157917765778e-13 +9.6168515440584395e-07 +9.6087869717081361e-07 +9.5600079703040516e-07 +9.5067520797849174e-07 +9.4104564432258090e-07 +9.1944207839727381e-07 +9.0282365096228002e-07 +9.1655242214587721e-07 +3.1933875087483291e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.1918234794050221e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.1856135707518473e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.1779536299256703e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.1640044201572847e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.1214504951298679e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.0578774007703802e-10 +0.0000000000000000e+00 +2.9526041615417551e-10
                     +29 +1.0585853524774161e-13 +9.5696180960301373e-07 +9.5577915045701301e-07 +9.5119214369403770e-07 +9.4577535367892324e-07 +9.3593936752405969e-07 +9.1411134416255211e-07 +8.9528019294863599e-07 +9.0477885282708167e-07 +2.9707564004476028e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.9692703661576762e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.9633701333803044e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.9560921786696462e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.9418518142764914e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.9020523957914314e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.8416427649093101e-10 +0.0000000000000000e+00 +2.7416080318569067e-10
