Maps: isw_bin0 eucz3500_b20000_bin0 eucz5600_b20000_bin0 eucz6300_b20000_bin0 eucz6930_b20000_bin0 eucz7000_b20000_bin0 eucz7070_b20000_bin0 eucz7700_b20000_bin0 eucz8400_b20000_bin0 eucz10500_b20000_bin0
nbar: -1.000e+00 3.493e+08 3.498e+08 3.498e+08 3.499e+08 3.499e+08 3.499e+08 3.499e+08 3.499e+08 3.499e+08
Computed for pairs: isw-eucz3500_b20000 isw-eucz5600_b20000 isw-eucz6300_b20000 isw-eucz6930_b20000 isw-eucz7000_b20000 isw-eucz7070_b20000 isw-eucz7700_b20000 isw-eucz8400_b20000 isw-eucz10500_b20000
runtag z0test (ilk:) (iswilk:fidisw), lmax=95, eps=1.0e-10,besselmincut=1, besselmaxcut=0
CAMBtag 'fid': Oc=0.259, Ob=0.0486, h0=0.677, w0=-1, ns=0.967, On=0 [OL=1-Om, Oc=Om-Ob-On. epsilon=1e-10]
k-data: kmin=1.000e-05, kmax=1.000e+01, kperlog=300, krcut(add,mult)=(50,20);
##############################
                         isw_bin0                eucz3500_b20000_bin0    eucz5600_b20000_bin0    eucz6300_b20000_bin0    eucz6930_b20000_bin0    eucz7000_b20000_bin0    eucz7070_b20000_bin0    eucz7700_b20000_bin0    eucz8400_b20000_bin0    eucz10500_b20000_bin0   isw_bin0                eucz3500_b20000_bin0    eucz5600_b20000_bin0    eucz6300_b20000_bin0    eucz6930_b20000_bin0    eucz7000_b20000_bin0    eucz7070_b20000_bin0    eucz7700_b20000_bin0    eucz8400_b20000_bin0    isw_bin0                eucz3500_b20000_bin0    eucz5600_b20000_bin0    eucz6300_b20000_bin0    eucz6930_b20000_bin0    eucz7000_b20000_bin0    eucz7070_b20000_bin0    eucz7700_b20000_bin0    isw_bin0                eucz3500_b20000_bin0    eucz5600_b20000_bin0    eucz6300_b20000_bin0    eucz6930_b20000_bin0    eucz7000_b20000_bin0    eucz7070_b20000_bin0    isw_bin0                eucz3500_b20000_bin0    eucz5600_b20000_bin0    eucz6300_b20000_bin0    eucz6930_b20000_bin0    eucz7000_b20000_bin0    isw_bin0                eucz3500_b20000_bin0    eucz5600_b20000_bin0    eucz6300_b20000_bin0    eucz6930_b20000_bin0    isw_bin0                eucz3500_b20000_bin0    eucz5600_b20000_bin0    eucz6300_b20000_bin0    isw_bin0                eucz3500_b20000_bin0    eucz5600_b20000_bin0    isw_bin0                eucz3500_b20000_bin0    isw_bin0               
 lvals                   isw_bin0                eucz3500_b20000_bin0    eucz5600_b20000_bin0    eucz6300_b20000_bin0    eucz6930_b20000_bin0    eucz7000_b20000_bin0    eucz7070_b20000_bin0    eucz7700_b20000_bin0    eucz8400_b20000_bin0    eucz10500_b20000_bin0   eucz3500_b20000_bin0    eucz5600_b20000_bin0    eucz6300_b20000_bin0    eucz6930_b20000_bin0    eucz7000_b20000_bin0    eucz7070_b20000_bin0    eucz7700_b20000_bin0    eucz8400_b20000_bin0    eucz10500_b20000_bin0   eucz5600_b20000_bin0    eucz6300_b20000_bin0    eucz6930_b20000_bin0    eucz7000_b20000_bin0    eucz7070_b20000_bin0    eucz7700_b20000_bin0    eucz8400_b20000_bin0    eucz10500_b20000_bin0   eucz6300_b20000_bin0    eucz6930_b20000_bin0    eucz7000_b20000_bin0    eucz7070_b20000_bin0    eucz7700_b20000_bin0    eucz8400_b20000_bin0    eucz10500_b20000_bin0   eucz6930_b20000_bin0    eucz7000_b20000_bin0    eucz7070_b20000_bin0    eucz7700_b20000_bin0    eucz8400_b20000_bin0    eucz10500_b20000_bin0   eucz7000_b20000_bin0    eucz7070_b20000_bin0    eucz7700_b20000_bin0    eucz8400_b20000_bin0    eucz10500_b20000_bin0   eucz7070_b20000_bin0    eucz7700_b20000_bin0    eucz8400_b20000_bin0    eucz10500_b20000_bin0   eucz7700_b20000_bin0    eucz8400_b20000_bin0    eucz10500_b20000_bin0   eucz8400_b20000_bin0    eucz10500_b20000_bin0   eucz10500_b20000_bin0  
                      +0 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00
                      +1 +2.5555434751000329e-09 +2.7832253872081301e-06 +4.9793147070012487e-07 +3.2488998967721036e-07 +2.3059718528380264e-07 +2.2244563870488286e-07 +2.1466808358541706e-07 +1.5842496609145166e-07 +1.1659110512913307e-07 +5.4054055645440896e-08 +5.5695541534892962e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.8361445483645167e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.3615193741548240e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.0282903901233814e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.9956169002220683e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.9637141145450279e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.7075909417807459e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.4768812792409001e-08 +0.0000000000000000e+00 +1.0059159133380545e-08
                      +2 +5.1969374724940138e-10 +3.7794477371635545e-06 +6.9375873022855451e-07 +4.5426095170840791e-07 +3.2304922030144436e-07 +3.1168355676430025e-07 +3.0083166589942244e-07 +2.2219908763910300e-07 +1.6354027277600632e-07 +7.5563604359519250e-08 +3.1973396133816394e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.6482458200464401e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.3732217750547063e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1791219221017533e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1600458804798910e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1414127293932445e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.9158478163706905e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.5627970861036339e-09 +0.0000000000000000e+00 +5.7927155438178428e-09
                      +3 +1.8094908648062270e-10 +4.6164023879241255e-06 +8.7167864738641177e-07 +5.7364752314612273e-07 +4.0936346267678204e-07 +3.9508445672460792e-07 +3.8144787379519419e-07 +2.8245051034820200e-07 +2.0831311902850830e-07 +9.6530491394030329e-08 +2.1297508607654530e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1170500740039755e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.3298014560192678e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.0250591080358790e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +7.8963685441408457e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +7.7706095169383910e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.7573632081038129e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.8388823311005359e-09 +0.0000000000000000e+00 +3.9495682220626749e-09
                      +4 +8.1243082782092643e-11 +5.2983016607580846e-06 +1.0290142805196900e-06 +6.8087746934975104e-07 +4.8779675094917705e-07 +4.7096906109934788e-07 +4.5487178693430748e-07 +3.3784294150495450e-07 +2.4985335581030488e-07 +1.1639017288368871e-07 +1.5365265607426888e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.2072461120528348e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.8777109542249144e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.9281122646035664e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.8343059196364929e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.7425931822864184e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.0019227746682308e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.3280099805155653e-09 +0.0000000000000000e+00 +2.9343655618886752e-09
                      +5 +4.2437423613110060e-11 +5.8440417245609912e-06 +1.1664967684093320e-06 +7.7607197542684569e-07 +5.5822219105481673e-07 +5.3918141002755893e-07 +5.2097496604399468e-07 +3.8818951667738514e-07 +2.8794577985548900e-07 +1.3497802039026707e-07 +1.1653062198851854e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.3371044506823117e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.3285287628333544e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.6038003164686906e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.5320121144279458e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.4618596191059957e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.8940899113273010e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.3754767611361694e-09 +0.0000000000000000e+00 +2.2958549224326150e-09
                      +6 +2.4516494420263336e-11 +6.2736950740984645e-06 +1.2857399143823176e-06 +8.6003405635065100e-07 +6.2108963899404671e-07 +6.0014847801096312e-07 +5.8011247955754135e-07 +4.3367081881276940e-07 +3.2266721086376800e-07 +1.5225865689061129e-07 +9.1485523935764141e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.0630159175388756e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.2715209260943128e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.6998965864550425e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.6431540490133185e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.5875825542800957e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.1369986255666570e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.7238139719105701e-09 +0.0000000000000000e+00 +1.8598562162790200e-09
                      +7 +1.5233984115536337e-11 +6.6053397977334496e-06 +1.3886471985234681e-06 +9.3373940065015829e-07 +6.7697509343785590e-07 +6.5440433212508334e-07 +6.3280544035997115e-07 +4.7458202316269791e-07 +3.5419107891034704e-07 +1.6827264341008271e-07 +7.3672628227155345e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.1463699280421598e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.5102880140284807e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.0474914290525483e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.0014779695761598e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.9564314135120023e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.5899452914187645e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.2529086356145105e-09 +0.0000000000000000e+00 +1.5446121863271067e-09
                      +8 +9.9933353042070539e-12 +6.8544226279007441e-06 +1.4769604675834463e-06 +9.9818258983130998e-07 +7.2646910411938410e-07 +7.0252105237334965e-07 +6.7959228547458599e-07 +5.1128964519011507e-07 +3.8273241071136542e-07 +1.8306871008858735e-07 +6.0495733826934816e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.4604545059062294e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.9382608524235925e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.5576250043616713e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.5196995777508886e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.4824460439460982e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.1788839777332263e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.8988600743873650e-09 +0.0000000000000000e+00 +1.3071133478373446e-09
