                         isw_bin0                eucz7000_b20000_bin0    eucz7000_b20010_bin0    eucz7000_b20100_bin0    eucz7000_b20500_bin0    eucz7000_b21000_bin0    eucz7000_b22000_bin0    eucz7000_b25000_bin0    eucz7000_b210000_bin0   isw_bin0                eucz7000_b20000_bin0    eucz7000_b20010_bin0    eucz7000_b20100_bin0    eucz7000_b20500_bin0    eucz7000_b21000_bin0    eucz7000_b22000_bin0    eucz7000_b25000_bin0    isw_bin0                eucz7000_b20000_bin0    eucz7000_b20010_bin0    eucz7000_b20100_bin0    eucz7000_b20500_bin0    eucz7000_b21000_bin0    eucz7000_b22000_bin0    isw_bin0                eucz7000_b20000_bin0    eucz7000_b20010_bin0    eucz7000_b20100_bin0    eucz7000_b20500_bin0    eucz7000_b21000_bin0    isw_bin0                eucz7000_b20000_bin0    eucz7000_b20010_bin0    eucz7000_b20100_bin0    eucz7000_b20500_bin0    isw_bin0                eucz7000_b20000_bin0    eucz7000_b20010_bin0    eucz7000_b20100_bin0    isw_bin0                eucz7000_b20000_bin0    eucz7000_b20010_bin0    isw_bin0                eucz7000_b20000_bin0    isw_bin0               
 lvals                   isw_bin0                eucz7000_b20000_bin0    eucz7000_b20010_bin0    eucz7000_b20100_bin0    eucz7000_b20500_bin0    eucz7000_b21000_bin0    eucz7000_b22000_bin0    eucz7000_b25000_bin0    eucz7000_b210000_bin0   eucz7000_b20000_bin0    eucz7000_b20010_bin0    eucz7000_b20100_bin0    eucz7000_b20500_bin0    eucz7000_b21000_bin0    eucz7000_b22000_bin0    eucz7000_b25000_bin0    eucz7000_b210000_bin0   eucz7000_b20010_bin0    eucz7000_b20100_bin0    eucz7000_b20500_bin0    eucz7000_b21000_bin0    eucz7000_b22000_bin0    eucz7000_b25000_bin0    eucz7000_b210000_bin0   eucz7000_b20100_bin0    eucz7000_b20500_bin0    eucz7000_b21000_bin0    eucz7000_b22000_bin0    eucz7000_b25000_bin0    eucz7000_b210000_bin0   eucz7000_b20500_bin0    eucz7000_b21000_bin0    eucz7000_b22000_bin0    eucz7000_b25000_bin0    eucz7000_b210000_bin0   eucz7000_b21000_bin0    eucz7000_b22000_bin0    eucz7000_b25000_bin0    eucz7000_b210000_bin0   eucz7000_b22000_bin0    eucz7000_b25000_bin0    eucz7000_b210000_bin0   eucz7000_b25000_bin0    eucz7000_b210000_bin0   eucz7000_b210000_bin0  
                      +9 +6.8455178655638759e-12 +7.4505233107845331e-07 +7.8606841845749422e-07 +1.2120494296268769e-06 +4.3492996695907703e-06 +1.1126792969930214e-05 +3.4201495764203554e-05 +1.7958364666200642e-04 +6.7574707631729188e-04 +2.1465795672931004e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.2087206999057862e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.7680940032742378e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.2541729804333065e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.3623460833074723e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.4578603452304050e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.3224879752529838e-08 +0.0000000000000000e+00 +6.4305385645658090e-08
                     +10 +4.8488981206644267e-12 +7.8252003760524948e-07 +8.2588906524168745e-07 +1.2769959918996565e-06 +4.6054176660795215e-06 +1.1804591872216439e-05 +3.6331783167072245e-05 +1.9094408853789362e-04 +7.1873372558281079e-04 +1.8507163055724989e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.9046995198979869e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.3914274100577712e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.5538404847358106e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +7.2559729879823886e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.2661701852672322e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.8880385918596754e-08 +0.0000000000000000e+00 +5.5907667309015867e-08
                     +11 +3.5333662471138370e-12 +8.1538397743587009e-07 +8.6090305543078545e-07 +1.3346980566686254e-06 +4.8371013855172221e-06 +1.2421653557844928e-05 +3.8279273933957641e-05 +2.0136032289356324e-04 +7.5818922776731970e-04 +1.6119657584956154e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.6594115620572721e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.0862347676225577e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.9854103148784372e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.3583264781481328e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1104427503922901e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.5344547491407727e-08 +0.0000000000000000e+00 +4.9078419883637498e-08
                     +12 +2.6343531524094400e-12 +8.4407895029021898e-07 +8.9152561503716677e-07 +1.3857782540510674e-06 +5.0462081591445476e-06 +1.2982293145224328e-05 +4.0056364225398279e-05 +2.1089371196315524e-04 +7.9433965648409227e-04 +1.4153656663151428e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.4574029642866171e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.8355071829864085e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.5158304329079744e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.6176992590516450e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.8183571595079146e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.2424023245277726e-08 +0.0000000000000000e+00 +4.3432467392263606e-08
                     +13 +2.0066717233065038e-12 +8.6899018015099529e-07 +9.1816430373076884e-07 +1.4308367397212118e-06 +5.2344918797255772e-06 +1.3490708051934639e-05 +4.1675225512769567e-05 +2.1960563493063562e-04 +8.2741243203033081e-04 +1.2517282313035452e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.2891403154153958e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.6261600428014794e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.1242709550500083e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.9967643439674092e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.7420269024545097e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.9976216563725678e-08 +0.0000000000000000e+00 +3.8700801020257219e-08
                     +14 +1.5523512394773816e-12 +8.9045791254267971e-07 +9.4116664301877809e-07 +1.4703612983654495e-06 +5.4035915932225314e-06 +1.3950760637954595e-05 +4.3147312186976810e-05 +2.2755413363023024e-04 +8.5762297685828984e-04 +1.1139413333511565e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1475137905549754e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.4496982332634294e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.7940358844390042e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.4719176349852695e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +7.8299625473457992e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.7904423259457579e-08 +0.0000000000000000e+00 +3.4694831107334582e-08
                     +15 +1.2219587148833261e-12 +9.0880495530097279e-07 +9.6091039087275583e-07 +1.5048440156451883e-06 +5.5549507031624556e-06 +1.4365997736286653e-05 +4.4482826839113763e-05 +2.3479104060548798e-04 +8.8516390182970738e-04 +9.9676620924424823e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0270274480900422e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.2993828045037182e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.5104541293101642e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.0238815977304137e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +7.0499470725058564e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.6130743320520346e-08 +0.0000000000000000e+00 +3.1264689856762165e-08
                     +16 +9.7274326066488670e-13 +9.2430446443634011e-07 +9.7763678315069234e-07 +1.5346953341362433e-06 +5.6898615442765349e-06 +1.4739421154644131e-05 +4.5690684974980732e-05 +2.4136119069353241e-04 +9.1020123132857795e-04 +8.9624199597222073e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.2363643264236410e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1702390942628916e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.2666329307680154e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.6377180807421248e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.3775639247609279e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.4597750232559793e-08 +0.0000000000000000e+00 +2.8305278473529825e-08
                     +17 +7.8256808411561392e-13 +9.3721775677785972e-07 +9.9161795224114442e-07 +1.5603230108341989e-06 +5.8094266705369005e-06 +1.5073709552450425e-05 +4.6778472719423269e-05 +2.4730384206011536e-04 +9.3287855829688588e-04 +8.0920933028818885e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.3414082102338435e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0584141135552117e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.0552840694142863e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.3013992144042874e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.7936852669103761e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.3270145577681561e-08 +0.0000000000000000e+00 +2.5731523596123797e-08
                     +18 +6.3754971001467686e-13 +9.4776521152447165e-07 +1.0030996998868416e-06 +1.5819810628859111e-06 +5.9147144147364743e-06 +1.5371304095287524e-05 +4.7753367320464560e-05 +2.5265306265047886e-04 +9.5332619760661076e-04 +7.3355250231857421e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +7.5628395283618634e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.6097586255151128e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.8706344401338044e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.0081145344907598e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.2821923052298005e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.2106224995948329e-08 +0.0000000000000000e+00 +2.3475641647293836e-08
                     +19 +5.2443036611783125e-13 +9.5615685880425762e-07 +1.0123112117712599e-06 +1.6000797783367264e-06 +6.0066893252199606e-06 +1.5634569108211027e-05 +4.8622262639547368e-05 +2.5744104874110487e-04 +9.7166818016005178e-04 +6.6720199925690679e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.8802779684976874e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.7543749644646420e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.7084777321873316e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.7496218522166609e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.8322316119042747e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1080181450997608e-08 +0.0000000000000000e+00 +2.1494220261096130e-08
                     +20 +4.3463465424624958e-13 +9.6166539477222520e-07 +1.0184386166793028e-06 +1.6130214048608040e-06 +6.0767529939294069e-06 +1.5837607540740465e-05 +4.9296723441209150e-05 +2.6117204679404157e-04 +9.8595911273264983e-04 +6.0959174819885041e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.2873045401882733e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.0097880639861808e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.5665270391976878e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.5234623301965254e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.4373329121942003e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0178944658187223e-08 +0.0000000000000000e+00 +1.9748297568175600e-08
                     +21 +3.6274158240967075e-13 +9.6645073512348607e-07 +1.0238200757409699e-06 +1.6250411676325759e-06 +6.1459801777524258e-06 +1.6042038449617540e-05 +4.9983616928312891e-05 +2.6500425857683692e-04 +1.0006917272767052e-03 +5.5775782757710609e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.7538007395804696e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +7.3398029138651573e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.4388701466241554e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.3199824656712048e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.0822071037653034e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.3688810180475998e-09 +0.0000000000000000e+00 +1.8180004208518090e-08
                     +22 +3.0578662336318680e-13 +9.6960067563922867e-07 +1.0274646428898964e-06 +1.6342477860505483e-06 +6.2044304331466756e-06 +1.6218156973824035e-05 +5.0582317986913932e-05 +2.6836819798476042e-04 +1.0136560831020484e-03 +5.1176324078959886e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.2803096782839836e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.7444051117759314e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.3251495927295707e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.1385359446695426e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.7653086485494851e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.6456267601893178e-09 +0.0000000000000000e+00 +1.6779581592026066e-08
                     +23 +2.5884686871822535e-13 +9.7124644771656440e-07 +1.0295104873174848e-06 +1.6408884768661189e-06 +6.2528412123660619e-06 +1.6367941437125378e-05 +5.1098511161272365e-05 +2.7129350617636176e-04 +1.0249629459693755e-03 +4.7086752464797094e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.8592300894459083e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.2142236761416970e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.2236417394789645e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.9757961651740573e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.4809335929835548e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +7.9963458764120452e-09 +0.0000000000000000e+00 +1.5522033015459531e-08
                     +24 +2.2036131496813565e-13 +9.7155605350325370e-07 +1.0301338278097551e-06 +1.6451865371755598e-06 +6.2920032459530483e-06 +1.6493169273653924e-05 +5.1537575297736253e-05 +2.7380796050872333e-04 +1.0347153943834468e-03 +4.3380722119066729e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.4776122455686496e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.7334725485264394e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1314920136285953e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.8291862810621073e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.2245748159291312e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +7.4107404205302044e-09 +0.0000000000000000e+00 +1.4387683094865325e-08
                     +25 +1.8859712584594781e-13 +9.7063970729716056e-07 +1.0294507328862932e-06 +1.6473294805017424e-06 +6.3225283323955439e-06 +1.6595530821408818e-05 +5.1904661983617299e-05 +2.7593820369521080e-04 +1.0430140684687110e-03 +4.0069903974225795e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.1366134550371333e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.3032209735681149e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0488851998966444e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.6970446896485241e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.9933636691522835e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.8823206076635600e-09 +0.0000000000000000e+00 +1.3363915505182357e-08
                     +26 +1.6224070780336671e-13 +9.6861934095089845e-07 +1.0275894780749256e-06 +1.6475109248825322e-06 +6.3450796802793011e-06 +1.6676608921998020e-05 +5.2204539618946563e-05 +2.7770875522693420e-04 +1.0499501979230900e-03 +3.7078637422434111e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.8284797613087843e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.9140239328971464e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.7386646955120805e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.5773145153852008e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.7837449045153549e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.4030360719058158e-09 +0.0000000000000000e+00 +1.2435188017556586e-08
                     +27 +1.4014233469616994e-13 +9.6560106018999918e-07 +1.0246619134601495e-06 +1.6459016561081204e-06 +6.3602770802297439e-06 +1.6737865868275004e-05 +5.2441787959218864e-05 +2.7914327376530527e-04 +1.0556119829507409e-03 +3.4388495969532149e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.5513136339452735e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.5634899668738021e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.0620514465561473e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.4685253296159080e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.5931656995364946e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.9670868092982555e-09 +0.0000000000000000e+00 +1.1589228354302492e-08
                     +28 +1.2167470825323784e-13 +9.6168515440583358e-07 +1.0207737062015745e-06 +1.6426641403556248e-06 +6.3686313888438805e-06 +1.6780728365542567e-05 +5.2620376787674365e-05 +2.8026296407581856e-04 +1.0600823507877668e-03 +3.1933875087482133e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.2983812035219926e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.2433244564860039e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.4430722474371649e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.3692756986126117e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.4192126463504014e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.5704140008069528e-09 +0.0000000000000000e+00 +1.0821379531850151e-08
                     +29 +1.0607067053609720e-13 +9.5696180960300483e-07 +1.0160199947444659e-06 +1.6379420713874933e-06 +6.3707178482451976e-06 +1.6806603640416588e-05 +5.2744784790882076e-05 +2.8109051995267245e-04 +1.0634374310576563e-03 +2.9707564004474948e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.0689317380566782e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.9525097765393275e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +7.8795232809066572e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.2788290161365818e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.2605823922284144e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.2058425205039105e-09 +0.0000000000000000e+00 +1.0114609400963073e-08
