Maps: isw_bin0 eucz03_bin0 eucz05_bin0 eucz06_bin0 eucz07_bin0 eucz08_bin0
nbar: -1.000e+00 3.489e+08 3.497e+08 3.498e+08 3.499e+08 3.499e+08
Computed for pairs: isw-isw isw-eucz03 isw-eucz05 isw-eucz06 isw-eucz07 isw-eucz08 eucz03-eucz03 eucz03-eucz05 eucz03-eucz06 eucz03-eucz07 eucz03-eucz08 eucz05-eucz05 eucz05-eucz06 eucz05-eucz07 eucz05-eucz08 eucz06-eucz06 eucz06-eucz07 eucz06-eucz08 eucz07-eucz07 eucz07-eucz08 eucz08-eucz08
runtag depthtest (iswilk:), lmax=95, eps=1.0e-10,besselmincut=1, besselmaxcut=0
CAMBtag 'fid': Oc=0.259, Ob=0.0486, h0=0.677, w0=-1, ns=0.967, On=0 [OL=1-Om, Oc=Om-Ob-On. epsilon=1e-10]
k-data: kmin=1.000e-05, kmax=1.000e+01, kperlog=300, krcut(add,mult)=(50,20);
##############################
                         isw_bin0                eucz03_bin0             eucz05_bin0             eucz06_bin0             eucz07_bin0             eucz08_bin0             isw_bin0                eucz03_bin0             eucz05_bin0             eucz06_bin0             eucz07_bin0             isw_bin0                eucz03_bin0             eucz05_bin0             eucz06_bin0             isw_bin0                eucz03_bin0             eucz05_bin0             isw_bin0                eucz03_bin0             isw_bin0               
 lvals                   isw_bin0                eucz03_bin0             eucz05_bin0             eucz06_bin0             eucz07_bin0             eucz08_bin0             eucz03_bin0             eucz05_bin0             eucz06_bin0             eucz07_bin0             eucz08_bin0             eucz05_bin0             eucz06_bin0             eucz07_bin0             eucz08_bin0             eucz06_bin0             eucz07_bin0             eucz08_bin0             eucz07_bin0             eucz08_bin0             eucz08_bin0            
                     +35 +4.9979929103456298e-14 +6.8084530141526863e-06 +2.1156375850892319e-06 +1.3528801838268647e-06 +9.1589133185194012e-07 +6.4818543281626118e-07 +3.2225514415600763e-10 +3.2241869233582984e-06 +1.6582822369335317e-06 +1.0975404756997975e-06 +7.6240755771276847e-07 +2.6277807797229471e-10 +2.2703958411401195e-06 +1.3015452028719110e-06 +8.9184820217029727e-07 +2.2880083882024406e-10 +1.6397163780405321e-06 +1.0289769617262172e-06 +1.9810060517292723e-10 +1.2138952477009201e-06 +1.7185670323103346e-10
                     +36 +4.4574385872742983e-14 +6.6471464288222519e-06 +2.0818890297267007e-06 +1.3362271583356445e-06 +9.0751249194655412e-07 +6.4401145809414967e-07 +2.9878192362568477e-10 +3.1560497947414841e-06 +1.6345949601746621e-06 +1.0856656204342002e-06 +7.5642032979572300e-07 +2.4542275348783933e-10 +2.2241980234431286e-06 +1.2845787309856286e-06 +8.8322209722459754e-07 +2.1433855725777599e-10 +1.6073099711657433e-06 +1.0165565991852607e-06 +1.8597048483360664e-10 +1.1904414100122563e-06 +1.6167765070152426e-10
                     +37 +3.9863360675258360e-14 +6.4917024277885195e-06 +2.0482975971806878e-06 +1.3193433490268404e-06 +8.9883197072036437e-07 +6.3955183634060738e-07 +2.7754504046223315e-10 +3.0897210473748799e-06 +1.6108301978004208e-06 +1.0735099647264408e-06 +7.5013962948203173e-07 +2.2954522294056716e-10 +2.1790867355605231e-06 +1.2674646261252829e-06 +8.7432322942248227e-07 +2.0092461693889765e-10 +1.5755861218601655e-06 +1.0039554704284353e-06 +1.7477716519691200e-10 +1.1674402618747287e-06 +1.5211310103083402e-10
                     +38 +3.5727150811631367e-14 +6.3420988299172881e-06 +2.0149609320695371e-06 +1.3022897527583059e-06 +8.8988984516389903e-07 +6.3483210609100823e-07 +2.5817830925808087e-10 +3.0252566537697749e-06 +1.5870810830088666e-06 +1.0611366757928616e-06 +7.4359995122499842e-07 +2.1514313287620561e-10 +2.1351012944056220e-06 +1.2502476569230349e-06 +8.6511825617630772e-07 +1.8866463500926821e-10 +1.5445938261759639e-06 +9.9121869602819200e-07 +1.6442378515627664e-10 +1.1449282245019629e-06 +1.4330753093338052e-10
                     +39 +3.2092822138313944e-14 +6.1980645847745314e-06 +1.9819675083211501e-06 +1.2851382738018946e-06 +8.8073939527977272e-07 +6.2990490130227725e-07 +2.4048651163663420e-10 +2.9626591623758648e-06 +1.5633952290619364e-06 +1.0485913610079269e-06 +7.3684207808983107e-07 +2.0167651378814861e-10 +2.0922717647074245e-06 +1.2329797361177650e-06 +8.5586425074395375e-07 +1.7736646204498383e-10 +1.5143322296943923e-06 +9.7838306101358650e-07 +1.5490525450658616e-10 +1.1229132116390826e-06 +1.3517887285693023e-10
                     +40 +2.8892028178617633e-14 +6.0593270628267396e-06 +1.9493389550625632e-06 +1.2679275822168718e-06 +8.7139564515611390e-07 +6.2477348187710937e-07 +2.2428054837844237e-10 +2.9018720707906348e-06 +1.5398271044839012e-06 +1.0359115738786464e-06 +7.2988367444501444e-07 +1.8916987851960697e-10 +2.0505739219464709e-06 +1.2157102102255698e-06 +8.4638391342273619e-07 +1.6686309483257134e-10 +1.4848208992822232e-06 +9.6549234735208956e-07 +1.4611924867220686e-10 +1.1014100336291386e-06 +1.2762040502418918e-10
                     +41 +2.6064799256267614e-14 +5.9257344838860292e-06 +1.9171429127207709e-06 +1.2507085048768812e-06 +8.6190337991896059e-07 +6.1945374226415397e-07 +2.0925397234581890e-10 +2.8429262279376742e-06 +1.5164291915491108e-06 +1.0231430633289097e-06 +7.2275896811804284e-07 +1.7768124670456392e-10 +2.0100328925574262e-06 +1.1984788456870050e-06 +8.3678425718702767e-07 +1.5711067098841326e-10 +1.4560767771546081e-06 +9.5257735715493325e-07 +1.3782795779576492e-10 +1.0804358672023818e-06 +1.2059342712073408e-10
                     +42 +2.3561896712952066e-14 +5.7970534706026232e-06 +1.8854198216512828e-06 +1.2335124692533780e-06 +8.5229698897507485e-07 +6.1398682755021411e-07 +1.9568575644743107e-10 +2.7857770784947106e-06 +1.4932425682277146e-06 +1.0103112263333110e-06 +7.1549815712340387e-07 +1.6709030906030569e-10 +1.9706436226603781e-06 +1.1813245507023209e-06 +8.2708444695186979e-07 +1.4806126934200284e-10 +1.4280976323791705e-06 +9.3967272269073517e-07 +1.3010724545553315e-10 +1.0599935484747257e-06 +1.1405595574996249e-10
                     +43 +2.1339595684544496e-14 +5.6730409623305138e-06 +1.8542043014750891e-06 +1.2163863453678124e-06 +8.4260002961326465e-07 +6.0838747775982917e-07 +1.8322589223926236e-10 +2.7303835578298362e-06 +1.4702981776549201e-06 +9.9745357956321723e-07 +7.0812120425891816e-07 +1.5725455440604735e-10 +1.9323847069372205e-06 +1.1642751420516282e-06 +8.1731790441185043e-07 +1.3966989862878949e-10 +1.4008800095549078e-06 +9.2680065619410926e-07 +1.2299590576904770e-10 +1.0400822996656566e-06 +1.0799778686575304e-10
                     +44 +1.9356504613690975e-14 +5.5535072589938493e-06 +1.8235326145796737e-06 +1.1993485980457754e-06 +8.3283673983006694e-07 +6.0266774519054753e-07 +1.7178398664079696e-10 +2.6767109293832450e-06 +1.4476389015212381e-06 +9.8459982331222541e-07 +7.0064830764694430e-07 +1.4821962839842428e-10 +1.8952400387454132e-06 +1.1473678124390417e-06 +8.0750895803950952e-07 +1.3201088937990331e-10 +1.3744152716448046e-06 +9.1399415688166297e-07 +1.1637325566366635e-10 +1.0206995926159499e-06 +1.0235672704047998e-10
                     +45 +1.7591514718960514e-14 +5.4382315826625596e-06 +1.7934093703116094e-06 +1.1824386067725304e-06 +8.2303015497219806e-07 +5.9685210763907817e-07 +1.6125891748230791e-10 +2.6247275996163176e-06 +1.4252748297762453e-06 +9.7177079664237465e-07 +6.9310043452429854e-07 +1.3979076976338629e-10 +1.8591940966022204e-06 +1.1306132256994021e-06 +7.9767773926959104e-07 +1.2473965248064778e-10 +1.3486974141527425e-06 +9.0126187034319829e-07 +1.1017090125223658e-10 +1.0018425386130513e-06 +9.7083798846251569e-11
                     +46 +1.6019121406817268e-14 +5.3270094324658193e-06 +1.7638752027743245e-06 +1.1656857754955997e-06 +8.1320236330551557e-07 +5.9095543832951769e-07 +1.5155202392636153e-10 +2.5743627867373377e-06 +1.4032445216644768e-06 +9.5898985350085459e-07 +6.8549653989857436e-07 +1.3197771579372263e-10 +1.8242209732444162e-06 +1.1140496447731652e-06 +7.8784122024280477e-07 +1.1794173377552768e-10 +1.3237130791554998e-06 +8.8863735541503369e-07 +1.0437008411762501e-10 +9.8350515539399563e-07 +9.2057374931068836e-11
                     +47 +1.4608850406384828e-14 +5.2196078259928580e-06 +1.7349373828961926e-06 +1.1490843073378815e-06 +8.0337534355288766e-07 +5.8499095231459578e-07 +1.4258266507579277e-10 +2.5255667319654830e-06 +1.3815662378998534e-06 +9.4628401072545816e-07 +6.7785584463174705e-07 +1.2469864435834784e-10 +1.7902979670611682e-06 +1.0976909418746875e-06 +7.7802525815326017e-07 +1.1162525714909584e-10 +1.2994443524298711e-06 +8.7613373180734165e-07 +9.8934819325777094e-11 +9.6567700994294170e-07 +8.7396727657834957e-11
                     +48 +1.3342408644445146e-14 +5.1158781287934707e-06 +1.7065896796642721e-06 +1.1326908303448967e-06 +7.9355756846401729e-07 +5.7897672804644012e-07 +1.3428058714590728e-10 +2.4783027331447631e-06 +1.3602393239179552e-06 +9.3367019005388762e-07 +6.7018574373939550e-07 +1.1791718691647968e-10 +1.7573811722890085e-06 +1.0815457500969394e-06 +7.6824363344843512e-07 +1.0573549951183306e-10 +1.2758804400556928e-06 +8.6375726609186812e-07 +9.3953980977037867e-11 +9.4835022178434981e-07 +8.3055963328239443e-11
                     +49 +1.2203969073517374e-14 +5.0156569956013630e-06 +1.6788738696136528e-06 +1.1164980477078585e-06 +7.8377696864722212e-07 +5.7292159507454053e-07 +1.2659139894847646e-10 +2.4325193046195760e-06 +1.3393030230899499e-06 +9.2116226803345494e-07 +6.6251060392558163e-07 +1.1161578002224063e-10 +1.7254599586690269e-06 +1.0656433650508199e-06 +7.5851111051750800e-07 +1.0021873055142293e-10 +1.2530041848504929e-06 +8.5153703271867876e-07 +8.9212797583010260e-11 +9.3151741128594884e-07 +7.8975123808719703e-11
                     +50 +1.1178513563067653e-14 +4.9187066488297700e-06 +1.6517669723777285e-06 +1.1005231933176361e-06 +7.7404457538157748e-07 +5.6684166474972809e-07 +1.1946233163062430e-10 +2.3881527219224754e-06 +1.3187517510258046e-06 +9.0877109778548823e-07 +6.5484313884908357e-07 +1.0573447892580053e-10 +1.6944952827691788e-06 +1.0499842516095247e-06 +7.4883736773471146e-07 +9.5055239056241254e-11 +1.2307918184355152e-06 +8.3947444404502913e-07 +8.4759927414119524e-11 +9.1516121228920114e-07 +7.5138723984973539e-11
                     +51 +1.0253128725876768e-14 +4.8249112709326144e-06 +1.6252644987610581e-06 +1.0847877330947746e-06 +7.6437029443526055e-07 +5.6074314192489284e-07 +1.1284294169799239e-10 +2.3451551380218447e-06 +1.2985849084907239e-06 +8.9651833875777372e-07 +6.4718940652451248e-07 +1.0022548736166369e-10 +1.6644609466539928e-06 +1.0345738422406641e-06 +7.3924085886573526e-07 +9.0231931351257896e-11 +1.2092304672353592e-06 +8.2757919179651551e-07 +8.0573622128085089e-11 +8.9927367240181307e-07 +7.1524936989484327e-11
                     +52 +9.4160271843817719e-15 +4.7340883089315877e-06 +1.5993754294035123e-06 +1.0692888992336792e-06 +7.5476692835085127e-07 +5.5464084693944371e-07 +1.0669319323477539e-10 +2.3034697519976533e-06 +1.2788228714858416e-06 +8.8440622087146483e-07 +6.3956324660555271e-07 +9.5076197724501214e-11 +1.6353167786702732e-06 +1.0194332238140171e-06 +7.2972630493770697e-07 +8.5721844492483814e-11 +1.1882901432540879e-06 +8.1585774599703542e-07 +7.6649929496389256e-11 +8.8383466231880337e-07 +6.8114842209368875e-11
                     +53 +8.6589323259893515e-15 +4.6460642829827057e-06 +1.5740957327021656e-06 +1.0540436154628037e-06 +7.4524432179357598e-07 +5.4853789530290348e-07 +1.0097534875930137e-10 +2.2630481557657890e-06 +1.2594617053312247e-06 +8.7244953788512796e-07 +6.3197351200406416e-07 +9.0265965057232645e-11 +1.6070350645021609e-06 +1.0045576989495601e-06 +7.2030579868562730e-07 +8.1545349859889572e-11 +1.1679620613667460e-06 +8.0432171729356338e-07 +7.2967083607830561e-11 +8.6883895808822443e-07 +6.4915820183349453e-11
                     +54 +7.9747438940136051e-15 +4.5607805571772333e-06 +1.5494164034863310e-06 +1.0390562267870939e-06 +7.3581219748434657e-07 +5.4244927661675085e-07 +9.5573086738328371e-11 +2.2238434896284166e-06 +1.2405037243802962e-06 +8.6065580358598581e-07 +6.2442834928531207e-07 +8.5761390380410396e-11 +1.5795898545088545e-06 +9.8995870549656086e-07 +7.1098848731221349e-07 +7.7581513015587501e-11 +1.1482232642357741e-06 +7.9297434846296087e-07 +6.9498868117514756e-11 +8.5427100819774989e-07 +6.1915371062921381e-11
                     +55 +7.2900428209328563e-15 +4.4780329862547140e-06 +1.5253327129687913e-06 +1.0243338724722701e-06 +7.2647994114782390e-07 +5.3638437058110972e-07 +9.0653051147476663e-11 +2.1857990027455100e-06 +1.2219494762318156e-06 +8.4903404761878699e-07 +6.1694020037597474e-07 +8.1535552075516150e-11 +1.5529401267882280e-06 +9.7563759922673986e-07 +7.0178149004784993e-07 +7.3862024119729466e-11 +1.1290459336923118e-06 +7.8182315906457866e-07 +6.6231154436995635e-11 +8.4011233493609313e-07 +5.9142108670995268e-11
                     +56 +6.7297087698664148e-15 +4.3977321118052483e-06 +1.5018291015830019e-06 +1.0098763509044887e-06 +7.1725493390597352e-07 +5.3034192996446017e-07 +8.6059957381874630e-11 +2.1488812749558935e-06 +1.2037985396318780e-06 +8.3758669465818266e-07 +6.0951348744403029e-07 +7.7567046764171962e-11 +1.5270741719541218e-06 +9.6159490848705494e-07 +6.9268994590021423e-07 +7.0374341210633352e-11 +1.1104232208028017e-06 +7.7086599573078784e-07 +6.3154969438263400e-11 +8.2635665634405191e-07 +5.6462184513923804e-11
                     +57 +6.2188421587131867e-15 +4.3196716887607026e-06 +1.4788922171324975e-06 +9.9568517827769496e-07 +7.0814233136564673e-07 +5.2433492455151242e-07 +8.1762969349317156e-11 +2.1130047352148426e-06 +1.1860371730544208e-06 +8.2631704412082822e-07 +6.0215448960736996e-07 +7.3845250028241297e-11 +1.5019240009723330e-06 +9.4782532979790295e-07 +6.8371922443580901e-07 +6.7095090235855768e-11 +1.0923125921621882e-06 +7.6010823708900797e-07 +6.0259811463701368e-11 +8.1297606765822654e-07 +5.3934441625704928e-11
                     +58 +5.7533425083261145e-15 +4.2438283268767261e-06 +1.4565160413249070e-06 +9.8176836634724464e-07 +6.9914410691964624e-07 +5.1836786488114570e-07 +7.7739859845641821e-11 +2.0781566025121896e-06 +1.1686794347821033e-06 +8.1523468572734007e-07 +5.9486805580617956e-07 +7.0410230875254976e-11 +1.4774938569401286e-06 +9.3434076551817363e-07 +6.7487478423066337e-07 +6.4001593937025824e-11 +1.0747133461520606e-06 +7.4955290125125266e-07 +5.7531228230480150e-11 +7.9997028313561818e-07 +5.1549265838240949e-11
                     +59 +5.3295069899447559e-15 +4.1701238760243919e-06 +1.4347001936457398e-06 +9.6812282763618040e-07 +6.9027549775512123e-07 +5.1244418583101951e-07 +7.3856850198372563e-11 +2.0442994867629464e-06 +1.1517096249080417e-06 +8.0434276562320818e-07 +5.8766479452528842e-07 +6.7134517254193748e-11 +1.4537516569393639e-06 +9.2113366110970335e-07 +6.6616511688913997e-07 +6.1084214630499901e-11 +1.0576061053225727e-06 +7.3919770430884853e-07 +5.4950107827091735e-11 +7.8732704349167458e-07 +4.9297048564381483e-11
                     +60 +4.9426835856600078e-15 +4.0984167147099083e-06 +1.4134282248882745e-06 +9.5474676484739120e-07 +6.8153275298592218e-07 +5.0657124293646917e-07 +7.0307584620928751e-11 +2.0113812925213702e-06 +1.1351203346615471e-06 +7.9363639408815008e-07 +5.8054620355476263e-07 +6.4043177047671412e-11 +1.4306675704279882e-06 +9.0819938954016038e-07 +6.5758585738074947e-07 +5.8335919503247552e-11 +1.0409708298893315e-06 +7.2904480233424590e-07 +5.2503300560773181e-11 +7.7502377268049233e-07 +4.7161307564431880e-11
                     +61 +4.5888143951057623e-15 +4.0286717057501453e-06 +1.3926665231286131e-06 +9.4164013135557353e-07 +6.7292011858455477e-07 +5.0075309560710953e-07 +6.6982952243527332e-11 +1.9793619937383012e-06 +1.1189172652933775e-06 +7.8312189643702557e-07 +5.7351462499324904e-07 +6.1132542818982781e-11 +1.4082109052062972e-06 +8.9554519091172018e-07 +6.4914294494780688e-07 +5.5744349730780450e-11 +1.0247816116709871e-06 +7.1909281593031239e-07 +5.0259417620333627e-11 +7.6305296145641713e-07 +4.5139878361627763e-11
                     +62 +4.2654898974116644e-15 +3.9607357411614919e-06 +1.3724212100011675e-06 +9.2880696635582496e-07 +6.6444004351501354e-07 +4.9499355639310688e-07 +6.3861724105926190e-11 +1.9482047998089859e-06 +1.1030825646409059e-06 +7.7280256076591991e-07 +5.6657330697933563e-07 +5.8391019860175430e-11 +1.3863654463508889e-06 +8.8315926399799381e-07 +6.4084006929187088e-07 +5.3298902044145685e-11 +1.0090381235459626e-06 +7.0934135403732431e-07 +4.8099366042244485e-11 +7.5141041508614484e-07 +4.3227547596062564e-11
                     +63 +3.9699596210537687e-15 +3.8944624088352547e-06 +1.3526676285305754e-06 +9.1623269393622691e-07 +6.5604115534458692e-07 +4.8929939912159577e-07 +6.0927169844984593e-11 +1.9178498371347150e-06 +1.0876092630361037e-06 +7.6267094288116580e-07 +5.5972417759992056e-07 +5.5807635055844124e-11 +1.3650723857910250e-06 +8.7103886753865564e-07 +6.3267422213520729e-07 +5.0985643258600863e-11 +9.9369090597762663e-07 +6.9978639417206992e-07 +4.6061527543090927e-11 +7.4005988606633304e-07 +4.1416240731158797e-11
                     +64 +3.6989186803740842e-15 +3.8298913442205364e-06 +1.3334014316511416e-06 +9.0392359788361109e-07 +6.4787874384913650e-07 +4.8366949189781214e-07 +5.8164329267858577e-11 +1.8882843034324411e-06 +1.0724941663123808e-06 +7.5272952742006711e-07 +5.5297208765068913e-07 +5.3370217337295175e-11 +1.3443415746933537e-06 +8.5918383075377003e-07 +6.2464681891078512e-07 +4.8797498797846060e-11 +9.7875006730458276e-07 +6.9043023888131278e-07 +4.4130072494011348e-11 +7.2900969443953836e-07 +3.9695337022120495e-11
                     +65 +3.4492932826081484e-15 +3.7670101037472580e-06 +1.3146121191476185e-06 +8.9187467389633441e-07 +6.3981205808959153e-07 +4.7810377468647706e-07 +5.5562577332826176e-11 +1.8594975137024456e-06 +1.0577323447812611e-06 +7.4298363829633084e-07 +5.4632484649569161e-07 +5.1069174753272076e-11 +1.3241576164526340e-06 +8.4758736912019818e-07 +6.1676411088407804e-07 +4.6727938076854134e-11 +9.6419899258651353e-07 +6.8126714353697714e-07 +4.2298675196373527e-11 +7.1824710682254411e-07 +3.8058800393276193e-11
                     +66 +3.2189456895582879e-15 +3.7056443394507962e-06 +1.2962864655691660e-06 +8.8008324800095964e-07 +6.3187417971072245e-07 +4.7260581715279147e-07 +5.3108203392208309e-11 +1.8314294658444529e-06 +1.0433188119684784e-06 +7.3342769656880076e-07 +5.3977125662583667e-07 +4.8828995970814822e-11 +1.3044806381207778e-06 +8.3625590097777190e-07 +6.0902402863121142e-07 +4.4770730463934818e-11 +9.5001689393053217e-07 +6.7230423465944311e-07 +4.0561843839015103e-11 +7.0775763055098483e-07 +3.6505613676686848e-11
                     +67 +3.0071019319775910e-15 +3.6456997680532310e-06 +1.2783807508708767e-06 +8.6854087156827425e-07 +6.2408139454711080e-07 +4.6718918130707389e-07 +5.0793193772747425e-11 +1.8040412103331620e-06 +1.0292215803656787e-06 +7.2405786117901767e-07 +5.3332265789911686e-07 +4.6775511089677680e-11 +1.2852803638331535e-06 +8.2515528440461785e-07 +6.0142164944977518e-07 +4.2917417019999729e-11 +9.3618171445806597e-07 +6.6351541263276853e-07 +3.8915056816819027e-11 +6.9752591606582958e-07 +3.5036018969458306e-11
                     +68 +2.8119094147602396e-15 +3.5871697180562978e-06 +1.2609176694554279e-06 +8.5724638781568082e-07 +6.1642472908968116e-07 +4.6184298515761572e-07 +4.8607341479516243e-11 +1.7772875352235190e-06 +1.0154566662607900e-06 +7.1487122941251866e-07 +5.2697520339006496e-07 +4.4832868937342177e-11 +1.2665416513004541e-06 +8.1431248843547167e-07 +5.9395796594652272e-07 +4.1161956479797753e-11 +9.2267974440614613e-07 +6.5492215466523349e-07 +3.7352893419042204e-11 +6.8754098757748664e-07 +3.3647983739818850e-11
                     +69 +2.6318420290056706e-15 +3.5301258706630751e-06 +1.2438751945280641e-06 +8.4619658385358256e-07 +6.0890817019887169e-07 +4.5656917914665259e-07 +4.6542500460678025e-11 +1.7512214390139301e-06 +1.0020126109224992e-06 +7.0587256065541777e-07 +5.2073548971769232e-07 +4.2994441702012763e-11 +1.2482742275995441e-06 +8.0370845036456762e-07 +5.8663670473731293e-07 +3.9531185705739536e-11 +9.0951813827628772e-07 +6.4651180954786645e-07 +3.5871369736952349e-11 +6.7780802911995702e-07 +3.2366272459980657e-11
                     +70 +2.4648633469832466e-15 +3.4743692688009853e-06 +1.2272317831955586e-06 +8.3539785693847929e-07 +6.0152580682739131e-07 +4.5136840173961161e-07 +4.4588420653371280e-11 +1.7257417653390440e-06 +9.8887537456916760e-07 +6.9705559848305012e-07 +5.1459256077044595e-07 +4.1256754940484706e-11 +1.2304328281195843e-06 +7.9333821351554841e-07 +5.7945492986496157e-07 +3.7954864706546368e-11 +8.9666535193045756e-07 +6.3828377723289056e-07 +3.4464006400050286e-11 +6.6830441551886670e-07 +3.1116892128752628e-11
                     +71 +2.3099884858935267e-15 +3.4197986672235796e-06 +1.2109690740627821e-06 +8.2479924720317117e-07 +5.9428026037836309e-07 +4.4625470379113177e-07 +4.2738303000505868e-11 +1.7008320480504005e-06 +9.7602731400856756e-07 +6.8841468681737151e-07 +5.0855559878414580e-07 +3.9609808681803328e-11 +1.2129935613846765e-06 +7.8318917147782375e-07 +5.7240709785925757e-07 +3.6461181294131602e-11 +8.8410143577711308e-07 +6.3021817038108200e-07 +3.3124396693947474e-11 +6.5901584128603777e-07 +2.9928939153325069e-11
                     +72 +2.1598473469311984e-15 +3.3665701429713232e-06 +1.1951013742115771e-06 +8.1444719226077537e-07 +5.8717439667733301e-07 +4.4121254496033274e-07 +4.0983912527567297e-11 +1.6765050590551302e-06 +9.6348817491124149e-07 +6.7994938362108070e-07 +5.0262483519799062e-07 +3.8047914681419916e-11 +1.1959529453960080e-06 +7.7327974230318948e-07 +5.6549489632412948e-07 +3.5041008639446747e-11 +8.7183121201715696e-07 +6.2233783326314537e-07 +3.1849544148787129e-11 +6.4994520362381434e-07 +2.8797800602012263e-11
                     +73 +2.0261284681374761e-15 +3.3145534913346267e-06 +1.1796316635005491e-06 +8.0432393490837367e-07 +5.8019553966224253e-07 +4.3624367627922980e-07 +3.9319031346218063e-11 +1.6527321630505428e-06 +9.5122170417507044e-07 +6.7166339259148410e-07 +4.9679229947523426e-07 +3.6563654624624867e-11 +1.1793178899126804e-06 +7.6357760931823363e-07 +5.5872211468604323e-07 +3.3690194947670039e-11 +8.5985254050026445e-07 +6.1462426149003114e-07 +3.0638336642461688e-11 +6.4109023891019889e-07 +2.7719146667127720e-11
                     +74 +1.9021529794670430e-15 +3.2636028636810381e-06 +1.1644247406407709e-06 +7.9440830092074525e-07 +5.7334823958966183e-07 +4.3136383648695428e-07 +3.7740978250128974e-11 +1.6294530027729853e-06 +9.3922531277292769e-07 +6.6353909720094134e-07 +4.9106145805677651e-07 +3.5153452617409572e-11 +1.1630279190982883e-06 +7.5408110319020629e-07 +5.5207440792255863e-07 +3.2406837261031923e-11 +8.4812534105546742e-07 +6.0706688575821500e-07 +2.9485751579011755e-11 +6.3242330695896393e-07 +2.6692378866146981e-11
                     +75 +1.7871812893483253e-15 +3.2138219861790568e-06 +1.1496087491167902e-06 +7.8470568302206505e-07 +5.6663798076283070e-07 +4.2655897322738034e-07 +3.6243301503636278e-11 +1.6066812620081216e-06 +9.2750483614827596e-07 +6.5558089959604573e-07 +4.8543716933620409e-07 +3.3812711665938398e-11 +1.1470943043916001e-06 +7.4480200381276878e-07 +5.4555702569150793e-07 +3.1187702896529169e-11 +8.3665619972904963e-07 +5.9967897021461391e-07 +2.8386889144716362e-11 +6.2394818113647240e-07 +2.5714618651354805e-11
                     +76 +1.6804903052097924e-15 +3.1651824100899351e-06 +1.1351226015102311e-06 +7.7521598135395194e-07 +5.6005341220643244e-07 +4.2182777194462959e-07 +3.4757048524110289e-11 +1.5844094490874914e-06 +9.1604130027333985e-07 +6.4778960858416566e-07 +4.7991178801906506e-07 +3.2536757350335482e-11 +1.1315120856855863e-06 +7.3572366584562209e-07 +5.3916979887531166e-07 +3.0025782802214977e-11 +8.2544063831165158e-07 +5.9244716482347773e-07 +2.7340719574540729e-11 +6.1565976506874704e-07 +2.4781865421316992e-11
                     +77 +1.5813266599728048e-15 +3.1175067809002146e-06 +1.1209450353648558e-06 +7.6592320230237598e-07 +5.5359056823726406e-07 +4.1718022980520415e-07 +3.3409106703519817e-11 +1.5625849550776433e-06 +9.0481642614020204e-07 +6.4015462217447244e-07 +4.7448176940571778e-07 +3.1323197203592470e-11 +1.1162460248071918e-06 +7.2682890286562690e-07 +5.3290516634125169e-07 +2.8920288306998181e-11 +8.1445617198218037e-07 +5.8535919556412451e-07 +2.6343352889453289e-11 +6.0754479465092637e-07 +2.3891833603112089e-11
                     +78 +1.4891858910074284e-15 +3.0709078289812446e-06 +1.1070832949762952e-06 +7.5682565461857450e-07 +5.4726125213754437e-07 +4.1260595053612851e-07 +3.2131687853843650e-11 +1.5412268281559920e-06 +8.9385300876514205e-07 +6.3267525778015051e-07 +4.6915750406774093e-07 +3.0167951204616964e-11 +1.1012955541592152e-06 +7.1814037780837647e-07 +5.2676568509290471e-07 +2.7818426914725218e-11 +8.0369869484340548e-07 +5.7843316956595436e-07 +2.5392720435054437e-11 +5.9959811949434177e-07 +2.3042084760236481e-11
                     +79 +1.4034725248229724e-15 +3.0253393642584049e-06 +1.0935101688781286e-06 +7.4792549343160671e-07 +5.4104547800238101e-07 +4.0811040334103140e-07 +3.0917509801334577e-11 +1.5202816113184577e-06 +8.8310920236208116e-07 +6.2535311836422888e-07 +4.6392530358590646e-07 +2.9066388895254978e-11 +1.0866582596475743e-06 +7.0962547974648012e-07 +5.2075021635432859e-07 +2.6815007640398013e-11 +7.9316833243962904e-07 +5.7164343109222480e-07 +2.4486870205890418e-11 +5.9181992212120168e-07 +2.2229836207656241e-11
                     +80 +1.3235591166247455e-15 +2.9806968820136741e-06 +1.0802212432581277e-06 +7.3920339899681145e-07 +5.3495358705784615e-07 +4.0369583796960389e-07 +2.9808298234810931e-11 +1.4997500893913596e-06 +8.7259295099478648e-07 +6.1817155402437455e-07 +4.5878850309718148e-07 +2.8016949734623952e-11 +1.0723130023020600e-06 +7.0128727597207498e-07 +5.1484551210941395e-07 +2.5858676711214010e-11 +7.8284675189010830e-07 +5.6499312720398612e-07 +2.3643636622161155e-11 +5.8419708741221088e-07 +2.1454668143617441e-11
                     +81 +1.2489753230761151e-15 +2.9370271906898712e-06 +1.0672220686700904e-06 +7.3066630826723860e-07 +5.2898516954846625e-07 +3.9934894874008761e-07 +2.8701406276458061e-11 +1.4796862509708616e-06 +8.6231367200605409e-07 +6.1114228264218271e-07 +4.5375268380214548e-07 +2.7015878707208291e-11 +1.0582578306507346e-06 +6.9313852034158229e-07 +5.0906364455250336e-07 +2.4947733402140526e-11 +7.7273518574480102e-07 +5.5849329515648389e-07 +2.2820340817464001e-11 +5.7672904491652536e-07 +2.0713807099524681e-11
