Maps: isw_bin0 eucz03_bin0 eucz05_bin0 eucz06_bin0 eucz07_bin0 eucz08_bin0
nbar: -1.000e+00 3.489e+08 3.497e+08 3.498e+08 3.499e+08 3.499e+08
Computed for pairs: isw-isw isw-eucz03 isw-eucz05 isw-eucz06 isw-eucz07 isw-eucz08 eucz03-eucz03 eucz03-eucz05 eucz03-eucz06 eucz03-eucz07 eucz03-eucz08 eucz05-eucz05 eucz05-eucz06 eucz05-eucz07 eucz05-eucz08 eucz06-eucz06 eucz06-eucz07 eucz06-eucz08 eucz07-eucz07 eucz07-eucz08 eucz08-eucz08
runtag depthtest (iswilk:), lmax=95, eps=1.0e-10,besselmincut=1, besselmaxcut=0
CAMBtag 'fid': Oc=0.259, Ob=0.0486, h0=0.677, w0=-1, ns=0.967, On=0 [OL=1-Om, Oc=Om-Ob-On. epsilon=1e-10]
k-data: kmin=1.000e-05, kmax=1.000e+01, kperlog=300, krcut(add,mult)=(50,20);
##############################
                         isw_bin0                eucz03_bin0             eucz05_bin0             eucz06_bin0             eucz07_bin0             eucz08_bin0             isw_bin0                eucz03_bin0             eucz05_bin0             eucz06_bin0             eucz07_bin0             isw_bin0                eucz03_bin0             eucz05_bin0             eucz06_bin0             isw_bin0                eucz03_bin0             eucz05_bin0             isw_bin0                eucz03_bin0             isw_bin0               
 lvals                   isw_bin0                eucz03_bin0             eucz05_bin0             eucz06_bin0             eucz07_bin0             eucz08_bin0             eucz03_bin0             eucz05_bin0             eucz06_bin0             eucz07_bin0             eucz08_bin0             eucz05_bin0             eucz06_bin0             eucz07_bin0             eucz08_bin0             eucz06_bin0             eucz07_bin0             eucz08_bin0             eucz07_bin0             eucz08_bin0             eucz08_bin0            
                      +9 +6.8455178655638759e-12 +1.1332832522232406e-05 +2.2475635415914158e-06 +1.2378119491000391e-06 +7.4505233107845331e-07 +4.7971378885247490e-07 +5.8153016195075597e-09 +4.4586112019918335e-06 +1.6406836662655523e-06 +9.4882658709096892e-07 +5.9232267477657475e-07 +3.3894928954806236e-09 +2.9923531599949350e-06 +1.2233306988232565e-06 +7.3876162747764660e-07 +2.6720280266339068e-09 +2.0889701212303190e-06 +9.3065618007587913e-07 +2.1465795672931004e-09 +1.5083427275338121e-06 +1.7535536742897982e-09
                     +10 +4.8488981206644267e-12 +1.1423554066135466e-05 +2.3283674161948472e-06 +1.2923843236524905e-06 +7.8252003760524948e-07 +5.0618179491181799e-07 +4.8790675345211200e-09 +4.5505949883011034e-06 +1.7061793355094727e-06 +9.9354708377617642e-07 +6.2354001815553944e-07 +2.8968751182884308e-09 +3.0635993174449055e-06 +1.2758063935269048e-06 +7.7530607151391354e-07 +2.2951720278385388e-09 +2.1434523661760254e-06 +9.7254406972609389e-07 +1.8507163055724989e-09 +1.5502373329693107e-06 +1.5164642487699463e-09
                     +11 +3.5333662471138370e-12 +1.1438236043279137e-05 +2.3938930727969817e-06 +1.3389305499661908e-06 +8.1538397743587009e-07 +5.2986913139011441e-07 +4.1377602765087746e-09 +4.6111082819391525e-06 +1.7607176374514923e-06 +1.0322438833422408e-06 +6.5117951227003655e-07 +2.5015882662660453e-09 +3.1135424252163440e-06 +1.3201407259333338e-06 +8.0722314066466448e-07 +1.9911553643728510e-09 +2.1829191878836554e-06 +1.0083448396877968e-06 +1.6119657584956154e-09 +1.5811907792090210e-06 +1.3241438539628926e-09
                     +12 +2.6343531524094400e-12 +1.1391594223276401e-05 +2.4459847730531730e-06 +1.3782812563495514e-06 +8.4407895029021898e-07 +5.5089614195414150e-07 +3.5415219564535297e-09 +4.6451238573924620e-06 +1.8055317455215228e-06 +1.0655116771119743e-06 +6.7555564741617194e-07 +2.1784395123714948e-09 +3.1453567944265461e-06 +1.3570867734048844e-06 +8.3496859258665210e-07 +1.7423772762896702e-09 +2.2095566346210018e-06 +1.0386866847899360e-06 +1.4153656663151428e-09 +1.6027921298489107e-06 +1.1660506436635170e-09
                     +13 +2.0066717233065038e-12 +1.1295927748682570e-05 +2.4862169455636835e-06 +1.4111622810094135e-06 +8.6899018015099529e-07 +5.6960728583774446e-07 +3.0543161556370476e-09 +4.6568562729459893e-06 +1.8417077790920020e-06 +1.0938579028644520e-06 +6.9696424696114381e-07 +1.9110147226360835e-09 +3.1617850715300318e-06 +1.3877350632059877e-06 +8.5891285735530745e-07 +1.5357224911740204e-09 +2.2252703558159026e-06 +1.0641337846524837e-06 +1.2517282313035452e-09 +1.6165003982421477e-06 +1.0340689514586445e-09
                     +14 +1.5523512394773816e-12 +1.1161416729722760e-05 +2.5160470299622298e-06 +1.4382644243609669e-06 +8.9045791254267971e-07 +5.8615169715874753e-07 +2.6527874714919728e-09 +4.6499358778737193e-06 +1.8701768171533606e-06 +1.1177924354174342e-06 +7.1566789755873840e-07 +1.6870375033069928e-09 +3.1652466063338598e-06 +1.4126326640403873e-06 +8.7942661746929129e-07 +1.3619625548581700e-09 +2.2316907728853469e-06 +1.0851865732304729e-06 +1.1139413333511565e-09 +1.6231471865766802e-06 +9.2272634617094336e-10
                     +15 +1.2219587148833261e-12 +1.0996583185710250e-05 +2.5367163639677571e-06 +1.4602190482027976e-06 +9.0880495530097279e-07 +6.0071688546279792e-07 +2.3181986035697071e-09 +4.6275243773208992e-06 +1.8918433043101127e-06 +1.1377339192131413e-06 +7.3189705116474720e-07 +1.4979335499231513e-09 +3.1577802498668335e-06 +1.4323900678223175e-06 +8.9683057175387549e-07 +1.2147030316990329e-09 +2.2302461995111385e-06 +1.1023024423459568e-06 +9.9676620924424823e-10 +1.6240941950303600e-06 +8.2779260345598655e-10
                     +16 +9.7274326066488670e-13 +1.0808454565881537e-05 +2.5493672509257936e-06 +1.4773970463776019e-06 +9.2430446443634011e-07 +6.1346369983824769e-07 +2.0365830842993048e-09 +4.5922840948347715e-06 +1.9074799487484159e-06 +1.1540578977762311e-06 +7.4586817330345314e-07 +1.3364722375198930e-09 +3.1411871109548007e-06 +1.4475607243631761e-06 +9.1141011567544771e-07 +1.0885555378219476e-09 +2.2221729738632521e-06 +1.1158909442905450e-06 +8.9624199597222073e-10 +1.6201714764073503e-06 +7.4614712365514718e-10
                     +17 +7.8256808411561392e-13 +1.0602893783272023e-05 +2.5549966690028860e-06 +1.4904700372749181e-06 +9.3721775677785972e-07 +6.2453141518613437e-07 +1.7981145714276792e-09 +4.5464342948278835e-06 +1.9177354155147793e-06 +1.1671252791054718e-06 +7.5776703789662317e-07 +1.1980043184889642e-09 +3.1169567040270610e-06 +1.4586340954339098e-06 +9.2341783718810922e-07 +9.7984571814413617e-10 +2.2085365905997875e-06 +1.1263064620843042e-06 +8.0920933028818885e-10 +1.6120609718278150e-06 +6.7543370149320737e-10
                     +18 +6.3754971001467686e-13 +1.0384698275039752e-05 +2.5544765169510213e-06 +1.4997836117783447e-06 +9.4776521152447165e-07 +6.3405263455029022e-07 +1.5943646225075740e-09 +4.4920854551215848e-06 +1.9232642032289951e-06 +1.1772400735604410e-06 +7.6776879980737188e-07 +1.0777387989745197e-09 +3.0864227403179496e-06 +1.4660522607251520e-06 +9.3309393197533040e-07 +8.8542938876403126e-10 +2.1902549070388259e-06 +1.1338761998432177e-06 +7.3355250231857421e-10 +1.6004901406835706e-06 +6.1372494457353342e-10
                     +19 +5.2443036611783125e-13 +1.0157845381071649e-05 +2.5485845446629078e-06 +1.5057304202920365e-06 +9.5615685880425762e-07 +6.4214595680019542e-07 +1.4192569527743183e-09 +4.4307421563404224e-06 +1.9246040245950342e-06 +1.1846919499206085e-06 +7.7602505468825037e-07 +9.7342318056045523e-10 +3.0507103441625085e-06 +1.4702041742882301e-06 +9.4064724370058900e-07 +8.0268442756938803e-10 +2.1681051261897682e-06 +1.1389006716376284e-06 +6.6720199925690679e-10 +1.5859955630848274e-06 +5.5962193129414660e-10
                     +20 +4.3505242333903899e-13 +9.9334976902375493e-06 +2.5372072608920241e-06 +1.5076697766908312e-06 +9.6166539477224595e-07 +6.4814412161997925e-07 +1.2707701929990994e-09 +4.3657222145583233e-06 +1.9213710350917345e-06 +1.1888259831187130e-06 +7.8187473841651874e-07 +8.8343938475342289e-10 +3.0121179984772546e-06 +1.4708146942314023e-06 +9.4556546891368511e-07 +7.3176476646326306e-10 +2.1439247349943134e-06 +1.1412439755801927e-06 +6.0959174819888918e-10 +1.5701631991414812e-06 +5.1224286332055341e-10
                     +21 +3.6318839888469626e-13 +9.6987219604064844e-06 +2.5228654110539429e-06 +1.5081161006039306e-06 +9.6645073512350619e-07 +6.5379260341194902e-07 +1.1393672473908524e-09 +4.2946490760454900e-06 +1.9159417207136870e-06 +1.1918517958360695e-06 +7.8718935660613603e-07 +8.0279550627317137e-10 +2.9687444233709292e-06 +1.4696226767767692e-06 +9.4955509971633645e-07 +6.6727239175375898e-10 +2.1158753790808409e-06 +1.1420220813321231e-06 +5.5775782757714166e-10 +1.5511259604840234e-06 +4.7010254517947175e-10
                     +22 +3.0528221104660025e-13 +9.4633619664027085e-06 +2.5049433113820648e-06 +1.5061377233416109e-06 +9.6960067563924773e-07 +6.5833054088514757e-07 +1.0250784579281604e-09 +4.2202912933465488e-06 +1.9075868589210401e-06 +1.1930205412042998e-06 +7.9115705280190430e-07 +7.3149891484549459e-10 +2.9226761561227417e-06 +1.4660931660357838e-06 +9.5194329602900535e-07 +6.1037912744454117e-10 +2.0857069790952817e-06 +1.1409381752939228e-06 +5.1176324078963174e-10 +1.5304363130578198e-06 +4.3212424403402819e-10
                     +23 +2.5852865001716802e-13 +9.2291287639044742e-06 +2.4839840624158807e-06 +1.5019987655656307e-06 +9.7124644771658537e-07 +6.6182815574351157e-07 +9.2453087927671462e-10 +4.1435157894947644e-06 +1.8967032848126644e-06 +1.1921704635266195e-06 +7.9388018543258157e-07 +6.6814005616438696e-10 +2.8745146591907290e-06 +1.4605223896242798e-06 +9.5288093694178142e-07 +5.5965835782633969e-10 +2.0538521382875670e-06 +1.1382169145909517e-06 +4.7086752464800165e-10 +1.5084131736853289e-06 +3.9829925078485324e-10
                     +24 +2.2001844425181271e-13 +8.9974584891724130e-06 +2.4603921373728291e-06 +1.4959360219419846e-06 +9.7155605350327508e-07 +6.6437320378471984e-07 +8.3684799474239458e-10 +4.0650897303305479e-06 +1.8835797783536972e-06 +1.1898433680173608e-06 +7.9548946767106541e-07 +6.1181671885443119e-10 +2.8247991227410145e-06 +1.4531224056591112e-06 +9.5250783798874700e-07 +5.1462742151846444e-10 +2.0206960920894371e-06 +1.1340185184081675e-06 +4.3380722119069588e-10 +1.4853365080007270e-06 +3.6792494355101703e-10
                     +25 +1.8827688561720145e-13 +8.7695400709621612e-06 +2.4345907267568913e-06 +1.4881751256286332e-06 +9.7063970729718173e-07 +6.6604150121558497e-07 +7.5920425489650632e-10 +3.9856897729259921e-06 +1.8685364808510093e-06 +1.1860883775168903e-06 +7.9606480524202136e-07 +5.6145790009085338e-10 +2.7740089633296695e-06 +1.4441321979910991e-06 +9.5095316138842094e-07 +4.7392102164691427e-10 +1.9865897348415687e-06 +1.1285246029506344e-06 +4.0069903974228452e-10 +1.4614664102030868e-06 +3.4070846396462246e-10
                     +26 +1.6193296087887276e-13 +8.5462143461010008e-06 +2.4069086315383003e-06 +1.4789145677520676e-06 +9.6861934095091814e-07 +6.6691071534961765e-07 +6.8991496512634537e-10 +3.9058491602917829e-06 +1.8518195367138732e-06 +1.1810548734555958e-06 +7.9570725211730666e-07 +5.1636868970687894e-10 +2.7225229224027482e-06 +1.4337422156228221e-06 +9.4833214393032160e-07 +4.3739924224526549e-10 +1.9517944970860792e-06 +1.1218786470702101e-06 +3.7078637422436592e-10 +1.4370004415924582e-06 +3.1607651303734643e-10
                     +27 +1.3993547108013372e-13 +8.3281799545712848e-06 +2.3776761349070361e-06 +1.4683287245345358e-06 +9.6560106019001993e-07 +6.6704163845182059e-07 +6.2866655505373388e-10 +3.8260462811157995e-06 +1.8336669278933903e-06 +1.1748828583210617e-06 +7.9449931913134616e-07 +4.7594501376901413e-10 +2.6706934298256220e-06 +1.4221251307224444e-06 +9.4475356507094065e-07 +4.0437778979476929e-10 +1.9165813700892349e-06 +1.1142130509042004e-06 +3.4388495969534475e-10 +1.4121289903508602e-06 +2.9353727208173044e-10
                     +28 +1.2146157917768623e-13 +8.1158809881178567e-06 +2.3471568161040701e-06 +1.4565809694851572e-06 +9.6168515440585475e-07 +6.6650100044970495e-07 +5.7445545607539613e-10 +3.7466661441439097e-06 +1.8142896851195249e-06 +1.1676918119065496e-06 +7.9251903452497519e-07 +4.3958527116591469e-10 +2.6188066294743999e-06 +1.4094380943605713e-06 +9.4037332124412699e-07 +3.7460297503973362e-10 +1.8811578121185473e-06 +1.1056515763723021e-06 +3.1933875087484438e-10 +1.3870178553004001e-06 +2.7319099184724018e-10
                     +29 +1.0585853524776675e-13 +7.9097888026960636e-06 +2.3156221981145245e-06 +1.4438355401631860e-06 +9.5696180960302474e-07 +6.6534045259364643e-07 +5.2587367692797292e-10 +3.6680542943189114e-06 +1.7938866470975094e-06 +1.1596102863782457e-06 +7.8983852229673155e-07 +4.0652840365134903e-10 +2.5671202830892200e-06 +1.3958397910231139e-06 +9.3510299851838662e-07 +3.4753627604734236e-10 +1.8457187782605862e-06 +1.0963118612254481e-06 +2.9707564004477114e-10 +1.3618107371901433e-06 +2.5461991286746410e-10
                     +30 +9.2543483152703075e-14 +7.7100781453535498e-06 +2.2832848634869220e-06 +1.4302132825460455e-06 +9.5151506458021569e-07 +6.6362302410250811e-07 +4.8244807995944856e-10 +3.5904860923593928e-06 +1.7726300263075539e-06 +1.1507339868101494e-06 +7.8652212235401414e-07 +3.7665069437018626e-10 +2.5158394352052040e-06 +1.3814606604175720e-06 +9.2919641461691087e-07 +3.2292587050086515e-10 +1.8104080919947497e-06 +1.0862959671129378e-06 +2.7674811565767908e-10 +1.3366170163795190e-06 +2.3775782085358476e-10
                     +31 +8.1261254888076611e-14 +7.5167679871326146e-06 +2.2503221387404067e-06 +1.4158364405214327e-06 +9.4541892690649066e-07 +6.6138769634178359e-07 +4.4347189920729618e-10 +3.5141210019736002e-06 +1.7506534967895197e-06 +1.1411655226961171e-06 +7.8263060362310791e-07 +3.4948356674632942e-10 +2.4651036558536963e-06 +1.3663993673639517e-06 +9.2269946808036908e-07 +3.0055008581607455e-10 +1.7753468045267045e-06 +1.0756829641993437e-06 +2.5814126432023088e-10 +1.3115306843076303e-06 +2.2225770416540881e-10
                     +32 +7.1605617603522678e-14 +7.3300499119413802e-06 +2.2169525223890635e-06 +1.4008198623339902e-06 +9.3874319409905203e-07 +6.5868598692423844e-07 +4.0839311191370031e-10 +3.4392012862756083e-06 +1.7281251209870535e-06 +1.1309773183788541e-06 +7.7822250662858413e-07 +3.2463674742954713e-10 +2.4150945903760069e-06 +1.3508012145134206e-06 +9.1564625469097108e-07 +2.8012739535309773e-10 +1.7406651877545970e-06 +1.0645842808543630e-06 +2.4124275285700701e-10 +1.2866509129505354e-06 +2.0803294562817690e-10
                     +33 +6.3301718502835036e-14 +7.1497765610589871e-06 +2.1832815867245327e-06 +1.3852602859562847e-06 +9.3159075540994407e-07 +6.5555672017955673e-07 +3.7670816969149100e-10 +3.3658189962173663e-06 +1.7051541279874396e-06 +1.1202638249080942e-06 +7.7336404337062232e-07 +3.0216546900417844e-10 +2.3659021740703572e-06 +1.3347264507058706e-06 +9.0811473700304342e-07 +2.6145558574467082e-10 +1.7064475484257238e-06 +1.0530487485610701e-06 +2.2561401507717544e-10 +1.2620452108844354e-06 +1.9498954415082394e-10
                     +34 +5.6178563423223257e-14 +6.9759942399180022e-06 +2.1494702215700610e-06 +1.3692549437258326e-06 +9.2392803032475253e-07 +6.5204339141200352e-07 +3.4813683460486106e-10 +3.2941431217120832e-06 +1.6818255055365293e-06 +1.1090975860465799e-06 +7.6806841887876206e-07 +2.8164206327816469e-10 +2.3176570629515968e-06 +1.3182853303559161e-06 +9.0016508236592950e-07 +2.4447185139711147e-10 +1.6727841605807428e-06 +1.0411595920380424e-06 +2.1125396873254072e-10 +1.2377828251600597e-06 +1.8292968963296065e-10
